id,rank,argument,context,stance,topic,Manual 
2330,0.111111111,"Most people have a point of view and do not invest effort in obtaining diverse facts & reasoning on the topic, nor apply their own reasoning.",Social-media-brings-more-harm-than-good,pro,Social Media,1
2645,0.111111111,"Online today for social media, followed by being dead to the world in real life! Information today, propaganda tomorrow! Too much data to consume, at the cost of a life to waste without using such data!",Social-media-brings-more-harm-than-good,pro,Social Media,1
891,0.111111111,Disagree. Kids will find what they want. Bad can not be controlled... just contained. Education Is the key.,We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
4915,0.111111111,What is the categorization of violent? Is it the method or volume of death? Learning about death can be seen as an important part of human growth,We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
4907,0.111111111,We used to use led in our full and we band it because it is dangers. It is just the same,We-should-ban-fossil-fuels,pro,Fossil Fuels,1
2219,0.111111111,Many people are so wary of trusting autonomous cars with their lives and safety that the transition to a critical mass of them will be too large of an obstacle to overcome.,We-should-limit-autonomous-cars,pro,Autonomous Cars,1
5175,0.111111111,fosile fule are the chepest thing that can help the developing word to get to the level of the developed world.,We-should-not-ban-fossil-fuels,con,Fossil Fuels,1
294,0.111111111,Autonomous cars are not less safer than auto-pilot in airplanes.,We-should-promote-autonomous-cars,con,Autonomous Cars,1
5461,0.111111111,"websites ask any question like preferred second language any question similarly & say website , stores this info for our benefit & will not use it / sell it etc etc. privacy is breached",We-should-support-information-privacy-laws,pro,Information Privacy Laws,1
2277,0.125,"Minorities have more access to stuff they need. Eg, clothes for gays, artifacts from abroad to ethnic minorities Otherwise many of those things are not accessible to many people who need them",Online-shopping-brings-more-good-than-harm,con,Online Shopping,1
4119,0.125,The infinite amount of stuff make people much less satisfied about the stuff they've bought,Online-shopping-brings-more-harm-than-good,pro,Online Shopping,1
3165,0.125,Social media acts as a media source that is not bound to any government . Most importently used in dictatorship country's,Social-media-brings-more-good-than-harm,con,Social Media,1
4192,0.125,"The post on social media show to the user information that smellier to there opinions, doesn’t show them opposite one.",Social-media-brings-more-harm-than-good,pro,Social Media,1
3943,0.125,"Taste is not justification for killing other sentient beings, so a meatless diet cannot be justified.",We-should-adopt-vegetarianism,pro,Vegetarianism,1
1695,0.133333333,"If one understand their accountability and responsibility of their own activities, it reaps benefits.",Social-media-brings-more-good-than-harm,con,Social Media,1
5363,0.133333333,"social media is driven by business needs, however, being social is a humane need",Social-media-brings-more-good-than-harm,con,Social Media,1
1507,0.142857143,Giving protection for those who cant get vaccinated themselves because of lack of immunity system e.g. leukemia,Flu-vaccination-should-be-mandatory,pro,Flu Vaccine,1
2324,0.142857143,"Most people are not informed enough about the effects or don't think about it. When it comes to a matter of live or death, the state should force those people to to do it.",Flu-vaccination-should-be-mandatory,pro,Flu Vaccine,1
3005,0.142857143,"Sending people to vaccinate will make people see some doctor and have some interaction with medical professionals, means more awareness and probability for people to care for their health",Flu-vaccination-should-be-mandatory,pro,Flu Vaccine,1
1300,0.142857143,Gambling is a metal disease that not only causes individual harm but also complete kills an entire family.,Gambling-should-be-banned,pro,Gambling,1
4109,0.142857143,The harms of social-media will generally pale before the benefits because unwanted communication is so easy to block.,Social-media-brings-more-good-than-harm,con,Social Media,1
3280,0.142857143,Social media brings more harm than good because it has led to the spread of fake news and misinformation that would have been screened out by barriers to publication in past decades.,Social-media-brings-more-harm-than-good,pro,Social Media,1
617,0.142857143,Bitcoin running out will cause people to innovate better bitcoin algorithms,We-should-adopt-cryptocurrency,pro,Cryptocurrency,1
1719,0.142857143,"If we are not satisfied with existing cryptocurrencies, we can produce new coins that are secured like a cryptocurrency but are subject to regulation like regular currency.",We-should-adopt-cryptocurrency,pro,Cryptocurrency,1
4011,0.142857143,"The blockchain allows for truly unique items to exist digitally, which is impossible without it.",We-should-adopt-cryptocurrency,pro,Cryptocurrency,1
2058,0.142857143,It won’t help because they will find ways to get any way- the ban will be on them and they will get in a different way- so the won’ help,We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
3013,0.142857143,Shaping the behavior of citizens in any way other than to protect natural rights is paternalistic and criminal.,We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
4390,0.142857143,"These games draw children's attention and that causes them to do less of more harmful things like porn in a young age, hacking and harassment onlinr",We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
2942,0.142857143,"Reduces the display of fairness in sports of striping a drug abusing athlete from achievements in front of cameras, that reduces the value of fairness in society in general",We-should-ban-doping-in-sport,con,Doping in Sport,1
4403,0.142857143,This encourages kids to dope because they see their role models using drugs and then are more likely to mimic.,We-should-ban-doping-in-sport,con,Doping in Sport,1
4944,0.142857143,When only a few people dope they delegitimate the game much more by beating everyone else by a lot more,We-should-ban-doping-in-sport,con,Doping in Sport,1
2244,0.142857143,"Many things athletes do hurts them physically. Running destroys your knees, weight lifting hurts the joints and generally the chances of getting wounded are very high. Doping do not produce significantly different damage.",We-should-legalize-doping-in-sport,pro,Doping in Sport,1
4110,0.142857143,"The health risks of doping are not meaningfully distinct from the normal risks of being an athlete, so a ban doesn't actually physically protect athletes.",We-should-legalize-doping-in-sport,pro,Doping in Sport,1
955,0.142857143,Driverless cars will cause many jobs where people are employed to deliver goods to go away.,We-should-limit-autonomous-cars,pro,Autonomous Cars,1
503,0.142857143,"Autonomous vehicles do not need to be perfect at driving, they just need to better than humans at it (which is a far easier task).",We-should-promote-autonomous-cars,con,Autonomous Cars,1
1601,0.142857143,"I do not believe that autonomous cars will be entirely successful, but I do believe that efforts in that direction will produce safer cars with significantly more preventative capabilities.",We-should-promote-autonomous-cars,con,Autonomous Cars,1
1468,0.153846154,Gambling should not be banned if it is done as a way of developing strategies.,Gambling-should-not-be-banned,con,Gambling,1
2032,0.153846154,It makes it more convenient to find what you are looking for,Online-shopping-brings-more-good-than-harm,con,Online Shopping,1
572,0.153846154,Banning violent video games does not guarantee that minors will not act violently. The causality here is not obvious.,We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
1015,0.153846154,"Even if minors are interested in video games, there are excellent nonviolent video games available.",We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1
1739,0.153846154,If you have done nothing wrong then you shouldn't be afraid of showing everything too every body.,We-should-discourage-information-privacy-laws,con,Information Privacy Laws,1
1627,0.153846154,I think I should development of autonomous cars. Why do you think should stop.?,We-should-promote-autonomous-cars,con,Autonomous Cars,1
5298,0.157894737,"online shopping has more options than regular shopping, confusing customers and frustrating them, leading them to think that they can never be happy with the product they purchase",Online-shopping-brings-more-harm-than-good,pro,Online Shopping,1
450,0.157894737,Autonomous cars will make traffic on highways and in general slower since everyone will be abiding by the speed limit even if it is safe to break it or a car needs to be passed.,We-should-limit-autonomous-cars,pro,Autonomous Cars,1
60,0.166666667,A vaccine is an actual disease. As an old person I can actually get sick because of that. I prefer to take a coat when i go woutsid then put a disease into my body,Flu-vaccination-should-not-be-mandatory,con,Flu Vaccine,1
5094,0.166666667,"a functioning society should learn to recognize the different beliefs between its members and cherish them, instead of forcing all its members to be the same",Flu-vaccination-should-not-be-mandatory,con,Flu Vaccine,1
56,0.166666667,A solution is to develop a form of gambling entertainment that limits financial and emotional risk.,Gambling-should-not-be-banned,con,Gambling,1
1579,0.166666667,"Humans should be free to make choices that do not negatively impact other humans, animals, or the environment. Gambling should be permitted when it does not negatively impact humans, animals, or the environment.",Gambling-should-not-be-banned,con,Gambling,1
5397,0.166666667,the internet is not a monopoly this gives a great variety to shopping for items online and allows small businesses to have a greater amount of recourse helping the vast amounts of the Internets population,Online-shopping-brings-more-good-than-harm,con,Online Shopping,1
3340,0.166666667,Social media celebrities are often bad people who use their influence to promote scams or dangerous ideology.,Social-media-brings-more-harm-than-good,pro,Social Media,1
1077,0.166666667,Feeding humans is likely the most significant thing the animal can do anyway,We-should-abandon-vegetarianism,con,Cryptocurrency,1
2802,0.166666667,People who support vegetarianism tend to preach in an annoying fashion; by ending that we could increase public happiness.,We-should-abandon-vegetarianism,con,Cryptocurrency,1
2272,0.166666667,Military games train children to operate drones and other high tech weapons necessary for today's military.,We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
3974,0.166666667,"The ""moral panic"" that many adults feel about video games is an exaggerated sense of public concern, fear, and anxiety over a perceived threat of social corruption.",We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
1640,0.166666667,I would qualify this as violent realistic video games should be banned from sale to minors. Cartoon like violence has been around since before Vaudeville,We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1
4598,0.166666667,Violence is the easy way out.. and the games educate the kids on that... we need to impartially also teach kids how to smartly (with non-violence) tackle any scenario.,We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1
5454,0.166666667,we should invest the effort in creating road infrastructure that will make autonomous cars trivial to implement,We-should-promote-autonomous-cars,con,Autonomous Cars,1
1552,0.166666667,"How can a company or an establishment use ones data without their permission for every use of any type., there is lot of loop holes if we do not get the steps.",We-should-support-information-privacy-laws,pro,Information Privacy Laws,1
4848,0.176470588,We should not ban fossil fuels because the Earth is already past the point of no return for warming.,We-should-not-ban-fossil-fuels,con,Fossil Fuels,1
1104,0.181818182,"Flu vaccines shouldn't be mandatory. We already mandate childhood vaccines for serious diseases. Big Pharma cannot be trusted. Government oversight is lax. If we're so concerned about the public good, why isn't there strong gun regulation?",Flu-vaccination-should-not-be-mandatory,con,Flu Vaccine,1
630,0.181818182,Business is a form of risk taking (gambling). Without business we would not have most of the technology and life benefits we currently enjoy.,Gambling-should-not-be-banned,con,Gambling,1
1462,0.181818182,Gambling should not be banned as it creates a hope for some to get out of their rut living.,Gambling-should-not-be-banned,con,Gambling,1
1684,0.181818182,"If gambling is the decision about where a person can invest their money in the hopes of a large return knowing the risks of a potential loss, then every expense is gambling.",Gambling-should-not-be-banned,con,Gambling,1
2327,0.181818182,"Most people don't spend a lot (and we can even cap the amount), and then the gov damages almost don't happen",Gambling-should-not-be-banned,con,Gambling,1
5472,0.181818182,why would u think online shopping is bad... its literally just buying something so u dont have to go the the store.....,Online-shopping-brings-more-good-than-harm,con,Online Shopping,1
2369,0.181818182,No - but filtering and networks enhancements need to catch up to refine and channel though for more effective communication.,Social-media-brings-more-good-than-harm,con,Social Media,1
2777,0.181818182,People tend to adhere to homogenous groups which end up reinforcing conventional social norms instead of breaking them down.,Social-media-brings-more-good-than-harm,con,Social Media,1
2404,0.181818182,"On social media I always compare myself to how other people seem happy, and they always seem happier than me because they share only happy aspects about their life",Social-media-brings-more-harm-than-good,pro,Social Media,1
5379,0.181818182,some people will loose the joy in eating. a joy that is known to be important for many people life's.,We-should-abandon-vegetarianism,con,Cryptocurrency,1
4218,0.181818182,The push to deliver autonomous cars is technology for technology's sake. We must first define what the problem is that we are trying to solve.,We-should-promote-autonomous-cars,con,Autonomous Cars,1
3864,0.181818182,"Some information collected on an individual may be used against them, merely on the basis of ""machine established"" correlation, without regards for actual causation: ""Jake likes chick Peas, People who do will likely commit tax Evasion.""",We-should-support-information-privacy-laws,pro,Information Privacy Laws,1
3260,0.1875,Social media are so wide spread that you can actually see how illiterate and ignorant your friends and neighbours are,Social-media-brings-more-harm-than-good,pro,Social Media,1
2412,0.1875,"One society will adopts’s the vegetarian life , other people also would like to try it and be part of it",We-should-adopt-vegetarianism,pro,Vegetarianism,1
3912,0.1875,"Steroids are often prescribed by doctors for recovery efforts, which can create false positives or push people out of sports if they need steroids.",We-should-ban-doping-in-sport,con,Doping in Sport,1
1186,0.2,"Gamblers are addicted to the thrill of the game. Greater losses, leads gamblers to make reckless bets and take higher risks.",Gambling-should-be-banned,pro,Gambling,1
2713,0.2,"People don't understand just how unlikely it is to win, the odds are so low that our brain can't comprehend it, which makes people think that their chances of winning are higher.",Gambling-should-be-banned,pro,Gambling,1
1080,0.2,"Financial resources are at the disposal of their owner, who may find more utility in the emotions and experience involved in gambling than from any other activity those resources could have been applied to.",Gambling-should-not-be-banned,con,Gambling,1
1379,0.2,Gambling is no different from the stock market. In fact it's frequently more rational and predictable -- particularly in sports.,Gambling-should-not-be-banned,con,Gambling,1
1400,0.2,"Gambling is the current employment of many specialized workeea, many of which are old, and so thay probably won't be able to find a good job after the banning of gambling.",Gambling-should-not-be-banned,con,Gambling,1
1701,0.2,"If precautions are made making sure people who participate know what they are doing (i.e adult, winning chances are shared in advance), it is their own choice and should have freedom to do so.",Gambling-should-not-be-banned,con,Gambling,1
1771,0.2,"In general, we operate in a free-market environment, and activities between consenting adults should not be banned.",Gambling-should-not-be-banned,con,Gambling,1
1915,0.2,It's going to happen anyway in a black market. We need regulation,Gambling-should-not-be-banned,con,Gambling,1
2449,0.2,"Online shopping allows to maximize the time you spend with your family, and brings broader access to quality products from worldwide",Online-shopping-brings-more-good-than-harm,con,Online Shopping,1
2549,0.2,Online shopping helps you capture good offers and price balance for ggods,Online-shopping-brings-more-good-than-harm,con,Online Shopping,1
5340,0.2,so ye online shopping is epic and good and doesnt need to be abolished and if u disagree ur prob a baby boomer,Online-shopping-brings-more-good-than-harm,con,Online Shopping,1
2153,0.2,"Likely to spend more. In a physical shop you see the products and when you have too many in the cart, online there's only a little symbol to represent the product.",Online-shopping-brings-more-harm-than-good,pro,Online Shopping,1
2179,0.2,"Makes peoeple spend money on things they don't need. With out it, even if you want something you must go out and find a shop, so you are less likely to buy on a whim.",Online-shopping-brings-more-harm-than-good,pro,Online Shopping,1
4055,0.2,"The fact that it is extremely easy to buy things make people buy more things, spending money and creating more pullotion, when they don't really need it",Online-shopping-brings-more-harm-than-good,pro,Online Shopping,1
2362,0.2,"No, I don't agree. With proper personal hygiene and regulatory frameworks in place, social media can help next generation, who will be technology oriented unlike past. Proper education is what matters most.",Social-media-brings-more-good-than-harm,con,Social Media,1
4577,0.2,Very important Persons (VIP) are able to communicate directly without mass media to the public and therefore the mass media is unable to influence other than with facts.,Social-media-brings-more-good-than-harm,con,Social Media,1
703,0.2,"Causes weight gain interacting with the screen instead of F2F, like walking to the neighbor, driving to meet someone, or walking up the stairs to someone in the same house or office.",Social-media-brings-more-harm-than-good,pro,Social Media,1
4234,0.2,The role of users on social medias seems to have evolved from actor to passive spectator.,Social-media-brings-more-harm-than-good,pro,Social Media,1
5073,0.2,You do not have to adopt vegetarianism to protect the environment. You can eat chicken that pollutes less or just eat a little meat.,We-should-abandon-vegetarianism,con,Cryptocurrency,1
1075,0.2,"Farmers justify destroying local habitats and species in order to protect their farm animals, which isn't needed for vegetarianism.",We-should-adopt-vegetarianism,pro,Vegetarianism,1
2242,0.2,"Many risk factors are associated with youth violence, but video games are not among them.",We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
4651,0.2,Violent video games doesn't seems to have impact in some countries such as Japan. It doesn't influence young people to commit crime.,We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
1819,0.2,"Increases gaps between athletes because the more affluent and skilled gain from it more, this causes less competition and makes it less fun and more unfair",We-should-ban-doping-in-sport,con,Doping in Sport,1
2311,0.2,Most a matures who aspire to be like the athletes they look up to don't have the supporting staff and facilities that help balance the negative effect of doping.,We-should-ban-doping-in-sport,con,Doping in Sport,1
1638,0.2,I would like to ban all violence games and the games containing hard or soft sex contents to the children under age of 16.,We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1
4795,0.2,We should ban the sale of violent video games to minors because kids need time to be kids with exposure to terrible things.,We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1
5257,0.2,it will bring more jobs to the primary industry that will help the aconomy.,We-should-legalize-doping-in-sport,pro,Doping in Sport,1
260,0.2,"Autonomous car will never take off, as its social/legal responsibility is unclear. And, human would never find a clear solution on that as there are too many conflicting interests.",We-should-limit-autonomous-cars,pro,Autonomous Cars,1
2838,0.2,Present technology standards for autonomous cars are not secure against hacking.,We-should-limit-autonomous-cars,pro,Autonomous Cars,1
4802,0.2,We should develop autonomous busses and vans. Cars are too small and inefficient. They waste resources.,We-should-limit-autonomous-cars,pro,Autonomous Cars,1
3917,0.2,Stopping the development of such an important technology would be like stopping the development of transportation itself. It would be a violence against human ingenuity and spirit like robbing the world of joy.,We-should-promote-autonomous-cars,con,Autonomous Cars,1
5456,0.2,"we should not stop the development, but implementation until we do more testing and create regulation on upcomming issues.",We-should-promote-autonomous-cars,con,Autonomous Cars,1
2973,0.214285714,Saying we should ban gambling sounds like something someone would do after they lost a lot of money at it.,Gambling-should-be-banned,pro,Gambling,1
1343,0.214285714,"Gambling is an enjoyable experience that people do to enjoy; it's vacation fun and a sport, that is good for anybody that wants to.",Gambling-should-not-be-banned,con,Gambling,1
2938,0.214285714,Recreational gambling involving a genuine level of chance should continue to be allowed.,Gambling-should-not-be-banned,con,Gambling,1
5333,0.214285714,road should be used by only autonomous cars in order to leverage machine-only rules,We-should-promote-autonomous-cars,con,Autonomous Cars,1
93,0.222222222,Adverse reactions to the vaccine in the elderly can cause life threatening conditions.,Flu-vaccination-should-not-be-mandatory,con,Flu Vaccine,1
1709,0.222222222,"If the government refuses to respect the will of the people, it will fall into fascism.",Flu-vaccination-should-not-be-mandatory,con,Flu Vaccine,1
4030,0.222222222,"The damage is mainly to poor people, whom can lose their house and entire savings",Gambling-should-be-banned,pro,Gambling,1
5200,0.222222222,"gambling is extremily exciting in a way that makes other important activties, such as spending time with famlit and working, seem dull, thus hurting the gambler",Gambling-should-be-banned,pro,Gambling,1
1312,0.222222222,"Gambling is a very healthy activity, for instance, much better then jogging",Gambling-should-not-be-banned,con,Gambling,1
127,0.222222222,Allows people a greater variety to select from and therefore increases happiness,Online-shopping-brings-more-good-than-harm,con,Online Shopping,1
1941,0.222222222,"It enables cheaper products by not needing to have physical store locations (which have rent), but only a warehouse.",Online-shopping-brings-more-good-than-harm,con,Online Shopping,1
59,0.222222222,A superficial news source which keeps people less informed and more biased to the if own echo chambers,Social-media-brings-more-harm-than-good,pro,Social Media,1
129,0.222222222,Allows populists to converse directly with citizens in vague slogans instead of actual policies and creates worse decisions overall,Social-media-brings-more-harm-than-good,pro,Social Media,1
3043,0.222222222,"Since one is behind a PC, interaction is distant. People tend to be insincere & exaggerate comments. I have yet to meet a person whom when Face to face, exaggerates on those topics.",Social-media-brings-more-harm-than-good,pro,Social Media,1
4120,0.222222222,"The info on social media is misleading: people see articles from wellknown publishers next to uknown ones, believing both without understand the difference.",Social-media-brings-more-harm-than-good,pro,Social Media,1
5110,0.222222222,"as humans get more and more dependent on social platforms for everything especially news, few entities can now know & accordingly control the thought process at a micro/individual and also at macro/society levels",Social-media-brings-more-harm-than-good,pro,Social Media,1
4328,0.222222222,There are political reasons to provide bailouts and change monetary policy. Free markets providing crypto don't have those incentives.,We-should-abandon-cryptocurrency,con,Cryptocurrency,1
1115,0.222222222,"For fluctuating currency, the time it takes to transfer funds can change its value. Crypto prices are definite the moment you buy it because funds can be transferred instantly.",We-should-adopt-cryptocurrency,pro,Cryptocurrency,1
26,0.222222222,"A Netflix documentary, What The Health, went even so far as to claim that eating one egg was as bad as smoking five cigarettes a day.",We-should-adopt-vegetarianism,pro,Vegetarianism,1
532,0.222222222,Banning can make youth antagonistic towards the government wich disturb with their own freedom. There for will create a generation of that have anty government ideals.,We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
2945,0.222222222,"Regulating privacy it's like controlling the direction the wind should go... it can't happen! My personal definition of privacy is very different from another person's, and the law definition will always have loopholes against mankind!",We-should-discourage-information-privacy-laws,con,Information Privacy Laws,1
120,0.222222222,"Allowing doping mean furthering human ability, making amateurs to further their goals and try to push themself further.",We-should-legalize-doping-in-sport,pro,Doping in Sport,1
3960,0.222222222,Testing autonomous cars on the roads creates public safety hazards risking peoples life.,We-should-limit-autonomous-cars,pro,Autonomous Cars,1
2981,0.222222222,"Self driving cars will free up much needed time of drivers currently wasted on the act of driving,",We-should-promote-autonomous-cars,con,Autonomous Cars,1
4895,0.222222222,We should only develop autonomous cars for use in very controlled environments where they will act as horizontal people movers.,We-should-promote-autonomous-cars,con,Autonomous Cars,1
209,0.222222222,"As the information grows so as the privacy laws growth. For example: ""your browsing history will tell you what kind of person you are"". So, digital discipline is must for global peace.",We-should-support-information-privacy-laws,pro,Information Privacy Laws,1
2804,0.230769231,People will cooperate with this proposal with peace of mind. Most people don't do it vulontarily just by default or due to lack of information.,Flu-vaccination-should-be-mandatory,pro,Flu Vaccine,1
1457,0.230769231,"Gambling should not be a habit and played regularly, but if it is played as another game and thought as a form of entertainment its good",Gambling-should-not-be-banned,con,Gambling,1
5031,0.230769231,"Without gambling we in the US would lose our most colorful characters of the wild west....Bill Hickock, Bat Masterson, any macho movie has the ""tell."" Don't make it go away.",Gambling-should-not-be-banned,con,Gambling,1
1614,0.230769231,"I love online shopping, I think this solve weather problems when shopping, save fuel, less traffic and so on",Online-shopping-brings-more-good-than-harm,con,Online Shopping,1
2513,0.230769231,Online shopping empowers free speech by allowing individual stores with political or controversial messaging to maintain a presence regardless of outside pressures trying to silence them.,Online-shopping-brings-more-good-than-harm,con,Online Shopping,1
4914,0.230769231,What has always amazed me is how many people feel free to send mean-spirited messages to people they don't know on Twitter.,Social-media-brings-more-harm-than-good,pro,Social Media,1
2361,0.230769231,"No, As information belongs to everyone, whether it is people in public position, or public policies for people",We-should-discourage-information-privacy-laws,con,Information Privacy Laws,1
1633,0.230769231,"I want to be mechanically in control of the car, to have three pedals on the floor, a real handbrake, six manual gears and a well engineered and balanced chassis.",We-should-limit-autonomous-cars,pro,Autonomous Cars,1
4319,0.230769231,"There are no more secrets, every thing is known about each and every human being and its online and being manipulated without your consent or control. You cannot be identified, you do not exist.",We-should-support-information-privacy-laws,pro,Information Privacy Laws,1
5187,0.235294118,"gambling and lottery usually adress the poor, feeding them with false hopes to change there life by winning bets, thus making it harder for those in a hard place to turn there life ffor the better",Gambling-should-be-banned,pro,Gambling,1
1502,0.235294118,"Given the trend of censorship currently being put in place over all social medias, by all governments including democracies, yes it will bring more harm than good when this censorship becomes a full reality. Big Brother.",Social-media-brings-more-harm-than-good,pro,Social Media,1
4311,0.235294118,There are more arguments on things that has happened and less on how to control or correct the upcoming instance or reduce the impact.,Social-media-brings-more-harm-than-good,pro,Social Media,1
222,0.235294118,"At times of war or poverty countries usually print money to get out of it and save it's people, cryptocurrency doesn't allow it",We-should-abandon-cryptocurrency,con,Cryptocurrency,1
