topic,retrievedUrl,archivedUrl,sentenceHash,sentence,annotation,set
abortion,http://www.slideshare.net/malifa89/pro-cons-of-abortion,http://web.archive.org/web/20160101163213/http://www.slideshare.net/malifa89/pro-cons-of-abortion,8d629433aa642d201cf60d787141ca82,May even affect the social life of a woman who succeeds in this procedure .,Argument_against,train
abortion,http://www.abort73.com/abortion/,http://web.archive.org/web/20160409155215/http://www.abort73.com:80/abortion/,7469bff67f81c53cac3237ad2263378e,"Are all abortionists simply "" in it for the money "" ?",Argument_against,train
abortion,http://wholeworldinhishands.com/world/abortionproscons.html,http://web.archive.org/web/20161002154805/http://wholeworldinhishands.com/world/abortionproscons.html,1fcf0f7ae1c44154f8cfb13983336c65,The truth : Yes it is murder !,Argument_against,train
abortion,http://www.healthguidance.org/entry/13561/1/Pros-and-Cons-of-Abortion.html,http://web.archive.org/web/20160425042210/http://www.healthguidance.org:80/entry/13561/1/Pros-and-Cons-of-Abortion.html,39d88b69a1828eb7ffaf5dd6378eda95,IT 'S SOOO WRONG !,Argument_against,train
abortion,http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,http://web.archive.org/web/20160902223828/http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,6c8a8ada88b01aab4a16a567d57274c7,One writer even prescribes a rather nasty abortion potion .,Argument_against,val
abortion,http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/,http://web.archive.org/web/20160502081158/http://www.choicematters.org:80/2007/12/legal-abortion-arguments-pro-con/,3c2a36d969b3aa4514cae49c5f5258dc,Parents have the right to know if their child is having an abortion .,Argument_for,train
abortion,http://www.healthguidance.org/entry/13561/1/Pros-and-Cons-of-Abortion.html,http://web.archive.org/web/20160425042210/http://www.healthguidance.org:80/entry/13561/1/Pros-and-Cons-of-Abortion.html,876d8c0038197389c30ae213788fb821,Abortion is n't the only option .,Argument_against,train
abortion,http://www.ontheissues.org/Celeb/Donald_Trump_Abortion.htm,http://web.archive.org/web/20160504193451/http://www.ontheissues.org:80/Celeb/Donald_Trump_Abortion.htm,954414a3c6508cf571a4801336635225,And they have to stop .,Argument_against,train
abortion,http://www.healthguidance.org/entry/13561/1/Pros-and-Cons-of-Abortion.html,http://web.archive.org/web/20160425042210/http://www.healthguidance.org:80/entry/13561/1/Pros-and-Cons-of-Abortion.html,b64c8daddfa4162d63da98148db47aac,What if the baby would be born into an unstable family ?,Argument_for,train
abortion,http://www.healthguidance.org/entry/13561/1/Pros-and-Cons-of-Abortion.html,http://web.archive.org/web/20160425042210/http://www.healthguidance.org:80/entry/13561/1/Pros-and-Cons-of-Abortion.html,3568b20bc6eddaae6c50818d32330337,What if the birth guaranteed your death ?,Argument_for,train
abortion,http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/,http://web.archive.org/web/20160502081158/http://www.choicematters.org:80/2007/12/legal-abortion-arguments-pro-con/,370d57f67e0fcd2d6712569ced2b72b6,Doctors make large profits from legal abortion .,Argument_against,train
abortion,http://www.balancedpolitics.org/abortion.htm,http://web.archive.org/web/20161018165433/http://balancedpolitics.org/abortion.htm,58aca6e3765d48c3a5a5a14e88442371,Do we want to saddle society with the added burden ?,Argument_for,train
abortion,http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/,http://web.archive.org/web/20160502081158/http://www.choicematters.org:80/2007/12/legal-abortion-arguments-pro-con/,63509d995bdaed7ef72a8fcfe7a9f8bf,"Besides , pregnancy rarely happens from rape .",Argument_against,train
abortion,http://www.cnn.com/2015/01/22/opinion/bachiochi-abortion-roe-v-wade/,http://web.archive.org/web/20161011214108/http://www.cnn.com/2015/01/22/opinion/bachiochi-abortion-roe-v-wade/,149533fe7ade5d9de6de617230adbf03,Is this really the equality we were looking for 42 years ago ?,Argument_against,train
abortion,http://www.healthguidance.org/entry/13561/1/Pros-and-Cons-of-Abortion.html,http://web.archive.org/web/20160425042210/http://www.healthguidance.org:80/entry/13561/1/Pros-and-Cons-of-Abortion.html,16d3f0c0b33d724b0c5404c65f88f730,Then you do n't have to worry about children .,Argument_for,train
abortion,http://www.listland.com/top-10-arguments-in-support-of-abortion/,http://web.archive.org/web/20160829133344/http://www.listland.com/top-10-arguments-in-support-of-abortion/,ad78dcaaebc865a58b426e8d5ff78ffb,Fetuses have done nothing .,Argument_against,train
cloning,http://www.debate.org/opinions/is-human-cloning-wrong,http://web.archive.org/web/20160512210343/http://www.debate.org:80/opinions/is-human-cloning-wrong,4077300569c9af250be81f3786c49b24,Technology has the tendency to often fail .,Argument_against,val
cloning,https://www.ethicalrights.com/submissions/cloning-and-embryonic-stem-cells/51-a-rebuttal-of-arguments-against-human-cloning,http://web.archive.org/web/20160408142441/http://www.ethicalrights.com:80/submissions/cloning-and-embryonic-stem-cells/51-a-rebuttal-of-arguments-against-human-cloning,6d54a5638a6ad5b03cf3d32c317b6204,( a ) Cloning would be unsafe .,Argument_against,train
cloning,http://greengarageblog.org/16-important-pros-and-cons-of-cloning-humans,http://web.archive.org/web/20160420204715/http://greengarageblog.org:80/16-important-pros-and-cons-of-cloning-humans,159bee952e5ef4cf8208bb9f052336d7,It could eliminate infertility .,Argument_for,test
cloning,http://www.wisegeek.com/what-are-the-pros-and-cons-of-cloning.htm,http://web.archive.org/web/20160827143433/http://www.wisegeek.com/what-are-the-pros-and-cons-of-cloning.htm,ce249b217c5f6721dcf9427e97fb61c7,god fears what he created ( us ) .,Argument_against,train
cloning,http://greengarageblog.org/16-important-pros-and-cons-of-cloning-humans,http://web.archive.org/web/20160420204715/http://greengarageblog.org:80/16-important-pros-and-cons-of-cloning-humans,035b8710515df9c6c8a00e4e14068348,"Do humans have a soul , which would be lost during the process ?",Argument_against,test
cloning,http://www.gallup.com/poll/5098/americans-oppose-idea-human-cloning.aspx,http://web.archive.org/web/20151022115652/http://www.gallup.com:80/poll/5098/americans-oppose-idea-human-cloning.aspx,b2914c17ecf3523acb609aa36f92ed94,Thirty-three percent supported a ban on all types of cloning .,Argument_against,train
cloning,http://humancloningproject.weebly.com/pros-and-cons-of-reproductive-cloning.html,http://web.archive.org/web/20161014152345/http://humancloningproject.weebly.com/pros-and-cons-of-reproductive-cloning.html,97f19fdb8aacd0a57c7bf302cf058130,Reproductive cloning is considered unsafe .,Argument_against,train
cloning,http://www.globalchange.com/noclones.htm,http://web.archive.org/web/20160510033753/http://www.globalchange.com:80/noclones.htm,eb7d1ffef72eba0045653d79bf9b8647,Why would you prevent that ?,Argument_for,train
cloning,http://www.gallup.com/poll/5098/americans-oppose-idea-human-cloning.aspx,http://web.archive.org/web/20151022115652/http://www.gallup.com:80/poll/5098/americans-oppose-idea-human-cloning.aspx,3d79e5838fdf4ecc452c5db1510923fd,"When Dolly the sheep was first cloned in 1997 , a CNN/USA Today/Gallup poll found that 87 % of Americans said human cloning would be a bad thing for humanity , and 88 % said that it would be morally wrong .",Argument_against,train
cloning,http://www.thenewatlantis.com/publications/part-two-the-case-against-cloning-to-produce-children,http://web.archive.org/web/20160913010551/http://www.thenewatlantis.com/publications/part-two-the-case-against-cloning-to-produce-children,325a159e34da3473046269f4f0d1caa7,"As recently as 2010 , about only 1 to 3 percent of cloned animal embryos transferred to females resulted in live births .",Argument_against,train
cloning,http://www.thenewatlantis.com/publications/part-two-the-case-against-cloning-to-produce-children,http://web.archive.org/web/20160913010551/http://www.thenewatlantis.com/publications/part-two-the-case-against-cloning-to-produce-children,e40194ec605870beca25d9dc4bef47fc,"In their 1997 paper , Ian Wilmut and his team described how they created 277 cloned sheep embryos ; 90 percent of them failed to develop long enough to be implanted in a womb ; Dolly was the only sheep to be born .",Argument_against,train
cloning,http://www.chsjournal.org/archive/vol37-no3-2011/for-practitioner/ethical-considerations-on-human-cloning,http://web.archive.org/web/20160504033631/http://www.chsjournal.org:80/archive/vol37-no3-2011/for-practitioner/ethical-considerations-on-human-cloning,29849bf9ca010673705e498789387844,Cloning techniques will really reach the ordinary people ?,Argument_against,train
cloning,http://www.debate.org/opinions/is-human-cloning-wrong,http://web.archive.org/web/20160512210343/http://www.debate.org:80/opinions/is-human-cloning-wrong,77411b4e4cae950848df35b11c8b4c31,The idea of cloning is repugnant .,Argument_against,train
cloning,http://www.iep.utm.edu/cloning/,http://web.archive.org/web/20160908035543/http://www.iep.utm.edu/cloning/,55ea5b944d2963b5bdfdfe3c9eb9c2aa,“ Taking the Stand for Therapeutic Cloning . ”,Argument_for,train
cloning,http://www.gallup.com/poll/5098/americans-oppose-idea-human-cloning.aspx,http://web.archive.org/web/20151022115652/http://www.gallup.com:80/poll/5098/americans-oppose-idea-human-cloning.aspx,561d4cc471555e0d2a87ad406f55244e,Eighty-six percent were opposed to human cloning .,Argument_against,val
cloning,http://www.wisegeek.com/what-are-the-pros-and-cons-of-cloning.htm,http://web.archive.org/web/20160827143433/http://www.wisegeek.com/what-are-the-pros-and-cons-of-cloning.htm,43be9f7a5f607de92c9f4e2f16bbe312,There are far too many risks .,Argument_against,train
cloning,http://www.endanimalcloning.org/ethics.shtml,http://web.archive.org/web/20160510100855/http://www.endanimalcloning.org:80/ethics.shtml,c9369a40e331a611405a13055dbd97a3,"The European Commission , for example , asked the European Group on Ethics to issue an expert opinion on the ethical implications of cloning animals for food .",Argument_against,train
cloning,http://debatepedia.idebate.org/en/index.php/Debate:_Ban_on_human_reproductive_cloning,http://web.archive.org/web/20150914201115/http://debatepedia.idebate.org/en/index.php/Debate:_Ban_on_human_reproductive_cloning,17bf9abf5c91fb1ef8da8a7975e4715b,Could Saddam Hussein clone an army ?,Argument_against,train
cloning,http://www.wisegeek.com/what-are-the-pros-and-cons-of-cloning.htm,http://web.archive.org/web/20160827143433/http://www.wisegeek.com/what-are-the-pros-and-cons-of-cloning.htm,bc952f9ed2cd2a55b36dbf0d4d2be407,We are god now !,Argument_against,val
death penalty,http://deathpenaltycurriculum.org/student/c/about/arguments/arguments.PDF,http://web.archive.org/web/20160319233007if_/http://deathpenaltycurriculum.org/student/c/about/arguments/arguments.PDF,2f60e146ca076161c250ba452ea7eeb2,Our capital punishment system is unreliable .,Argument_against,test
death penalty,http://deathpenaltyinfo.org/national-polls-and-studies,http://web.archive.org/web/20161020061844/http://www.deathpenaltyinfo.org/national-polls-and-studies,8940a154a0d7541737be9ec5ee726677,"However , when asked if the death penalty can help deter crime : 45 % say yes , while 43 % say no .",Argument_for,train
death penalty,https://www.aclu.org/other/case-against-death-penalty,http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty,06eca4e5403660c004f8e07bb52aa9bc,“ Don Harding took ten minutes and thirty one seconds to die .,Argument_against,train
death penalty,http://2016election.procon.org/view.answers.election.php?questionID=002042,http://web.archive.org/web/20161014173953/http://2016election.procon.org/view.answers.election.php?questionID=002042,9f62209b042c7bd6768bfaf25178eee8,"And look , it 's about justice .",Argument_for,train
death penalty,http://usliberals.about.com/od/deathpenalty/i/DeathPenalty_2.htm,http://web.archive.org/web/20160801180757/http://usliberals.about.com/od/deathpenalty/i/DeathPenalty_2.htm,fd8912eb7bf2d7295590051e4b270d71,To punish the criminal for his/her act .,Argument_for,train
death penalty,http://www.pbs.org/wgbh/pages/frontline/angel/procon/greenbergarticle.html,http://web.archive.org/web/20160506190902/http://www.pbs.org:80/wgbh/pages/frontline/angel/procon/greenbergarticle.html,ca701ea236bad2c01f67c85b41df06b5,( 27 ) In no case was a white executed for killing a black person .,Argument_against,train
death penalty,http://www.huffingtonpost.com/radley-balko/death-penalty-support-america_b_984931.html,http://web.archive.org/web/20160324230946/http://www.huffingtonpost.com/radley-balko/death-penalty-support-america_b_984931.html,ce229d0bbf74d39e003dc4ba79c1eaf2,"According to Gallup , about 60 percent of death penalty supporters back capital punishment under some form of this reasoning .",Argument_for,train
death penalty,https://oadp.org/facts/13-reasons,http://web.archive.org/web/20160506003040/http://oadp.org:80/facts/13-reasons,98bed85ccd05c0cbce2c35b9ff0c407f,The death penalty is applied at random .,Argument_against,test
death penalty,http://www.commondreams.org/views/2014/07/15/kill-death-penalty-10-arguments-against-capital-punishment,http://web.archive.org/web/20160502175706/http://www.commondreams.org:80/views/2014/07/15/kill-death-penalty-10-arguments-against-capital-punishment,add8f188badd7c76b04c24e34ff18604,The death penalty is totalitarian .,Argument_against,train
death penalty,http://2012election.procon.org/view.answers.election.php?questionID=1698,http://web.archive.org/web/20150217005454/http://2012election.procon.org:80/view.answers.election.php?questionID=1698,fc76a1c0176cc88087193134e1995b14,Terry Clark committed the crimes that he has been convicted of .,Argument_for,train
death penalty,http://www.americamagazine.org/issue/100/ten-reasons-oppose-death-penalty,http://web.archive.org/web/20160508012028/http://americamagazine.org:80/issue/100/ten-reasons-oppose-death-penalty,e1d4458210883d3612e2de3ec2f746f4,You might end up on death row .,Argument_against,val
death penalty,http://deathpenaltyinfo.org/national-polls-and-studies,http://web.archive.org/web/20161020061844/http://www.deathpenaltyinfo.org/national-polls-and-studies,0334211fff25aab56b683305847d130f,73 % of Americans believe an innocent person has been executed under the death penalty in the last five years .,Argument_against,val
death penalty,http://deathpenaltyinfo.org/national-polls-and-studies,http://web.archive.org/web/20161020061844/http://www.deathpenaltyinfo.org/national-polls-and-studies,969aa5d577ecec626f072bf18d3b80ef,"In the December poll when respondents were given a choice , only 42 % supported capital punishment while 46 % supported life without parole .",Argument_against,train
death penalty,https://www.aclu.org/other/case-against-death-penalty,http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty,bf11a0f564fc87fcf3d0e9bff16d9eb0,The stench of burning flesh was nauseating .,Argument_against,train
death penalty,http://deathpenalty.procon.org/view.resource.php?resourceID=002000,http://web.archive.org/web/20150305040535/http://deathpenalty.procon.org:80/view.resource.php?resourceID=002000,c3a94f91b19f712827d9f10f534ec526,Money gets you good defense .,Argument_against,test
death penalty,http://www.prodeathpenalty.com/ornellaspaper.htm,http://web.archive.org/web/20160509202800/http://www.prodeathpenalty.com:80/ornellaspaper.htm,be7d1eeb3f3c5bda40f5de9ef9498a78,Remember it could be one of your loved ones .,Argument_against,test
death penalty,https://www.aclu.org/other/case-against-death-penalty,http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty,aa8a909acad6523f5c39cf70adee70fd,"In 1986 his conviction was reversed on grounds of withheld evidence pointing to another suspect ; he was retried , re-convicted , and sentenced to life in prison .",Argument_against,train
death penalty,http://2012election.procon.org/view.answers.election.php?questionID=1698,http://web.archive.org/web/20150217005454/http://2012election.procon.org:80/view.answers.election.php?questionID=1698,2dd243a8608c74e2232e54ae4d381f76,Look at the level of violence they 've done to society .,Argument_for,train
death penalty,http://deathpenaltyinfo.org/national-polls-and-studies,http://web.archive.org/web/20161020061844/http://www.deathpenaltyinfo.org/national-polls-and-studies,cfcb9952cc0549a9f64d6c2a3f857bae,82 % of respondents oppose the death penalty for the mentally retarded .,Argument_against,train
death penalty,https://www.aclu.org/other/case-against-death-penalty,http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty,f0a2eca73c6ee552070703aaa54ac4f5,Years later the DNA was matched to the real killer .,Argument_against,train
death penalty,https://www.aclu.org/other/case-against-death-penalty,http://web.archive.org/web/20161025012714/https://www.aclu.org/other/case-against-death-penalty,34e66abbf50d02867ad35e356ba6f214,Please do n't take his life too . ',Argument_against,train
death penalty,http://www.americamagazine.org/issue/100/ten-reasons-oppose-death-penalty,http://web.archive.org/web/20160508012028/http://americamagazine.org:80/issue/100/ten-reasons-oppose-death-penalty,6e2ae7814317e44a792e2eef085ae4b1,Lethal injection is painless .,Argument_for,train
death penalty,http://civilliberty.about.com/od/capitalpunishment/tp/Arguments-for-Death-Penalty.htm,http://web.archive.org/web/20161012105401/http://civilliberty.about.com/od/capitalpunishment/tp/Arguments-for-Death-Penalty.htm,dddb4d2c604c7c91f6194e9e60bd630e, Families deserve closure . ,Argument_for,train
death penalty,http://civilliberty.about.com/od/capitalpunishment/tp/Arguments-for-Death-Penalty.htm,http://web.archive.org/web/20161012105401/http://civilliberty.about.com/od/capitalpunishment/tp/Arguments-for-Death-Penalty.htm,11c4007d28b7fd0f2cd9d97f5286b69d, Murderers deserve to die . ,Argument_for,val
death penalty,http://civilliberty.about.com/od/capitalpunishment/tp/Arguments-for-Death-Penalty.htm,http://web.archive.org/web/20161012105401/http://civilliberty.about.com/od/capitalpunishment/tp/Arguments-for-Death-Penalty.htm,98663a1d63642afad1c528a0d54a10ba, The Bible says ' an eye for an eye . ' ,Argument_for,train
gun control,http://listverse.com/2013/12/12/10-arguments-against-gun-control/,http://web.archive.org/web/20160616054535/https://listverse.com/2013/12/12/10-arguments-against-gun-control/,d344e27b2d0e4c48cc20d7dc4f60a800,"For the year 2013 , the city ’s murder count is 374 .",Argument_for,val
gun control,http://prospect.org/article/ten-arguments-gun-advocates-make-and-why-theyre-wrong,http://web.archive.org/web/20161021062241/http://prospect.org/article/ten-arguments-gun-advocates-make-and-why-theyre-wrong,8079d494bb140401f0237e8204d25f52,Guns are a part of American culture .,Argument_against,train
gun control,http://gun-control.procon.org/,http://web.archive.org/web/20161107162400/http://gun-control.procon.org/,974be4c7422f75fda3fe5c7fed27d94d,Gun control laws are racist .,Argument_against,test
gun control,http://concealedguns.procon.org/,http://web.archive.org/web/20161107160654/http://concealedguns.procon.org/,56915cabf1de16455be459f410490a84,"It 's just a safety issue . """,Argument_for,train
gun control,http://prospect.org/article/ten-arguments-gun-advocates-make-and-why-theyre-wrong,http://web.archive.org/web/20161021062241/http://prospect.org/article/ten-arguments-gun-advocates-make-and-why-theyre-wrong,d727f6d32d27a8c7a4a2c757b183b578,The American people do n't want more gun control .,Argument_against,train
gun control,http://www.nbcnews.com/video/nightly-news/50403374,http://web.archive.org/web/20160113172206/http://www.nbcnews.com:80/video/nightly-news/50403374,661ade338685ca76e164829ed5c328a9,>> reporter : two years ago today 9-year-old christina-taylor green was the youngest shot in a grocery store .,Argument_for,train
gun control,http://www.huffingtonpost.com/tanushree-ghosh/a-list-of-the-reasons-cit_b_8236494.html,http://web.archive.org/web/20160912131326/http://www.huffingtonpost.com/tanushree-ghosh/a-list-of-the-reasons-cit_b_8236494.html,f0d37b12a0baf1d68e077e653b94e9da,So Gun control is not the answer .,Argument_against,train
gun control,http://gun-control.procon.org/,http://web.archive.org/web/20161107162400/http://gun-control.procon.org/,b210017fe4c5cb0b9002a69a4d69b52e,"The FBI found that in 2013 arguments ( such as romantic triangles , brawls fueled by alcohol or drugs , and arguments over money ) resulted in 1,962 gun deaths ( 59.9 % of the total ) .",Argument_for,test
gun control,http://www.latimes.com/opinion/op-ed/la-oe-defilippis-hughes-gun-myths-debunked-20160708-snap-story.html,http://web.archive.org/web/20161109003720/http://www.latimes.com/opinion/op-ed/la-oe-defilippis-hughes-gun-myths-debunked-20160708-snap-story.html,612c2fd1bd6f13c6e336d275d3a7544e,"In the first , seven of the participants shot an innocent bystander .",Argument_for,train
gun control,http://www.latimes.com/opinion/op-ed/la-oe-defilippis-hughes-gun-myths-debunked-20160708-snap-story.html,http://web.archive.org/web/20161109003720/http://www.latimes.com/opinion/op-ed/la-oe-defilippis-hughes-gun-myths-debunked-20160708-snap-story.html,66962e97d9376308431bba42259607a7,Gunshot wounds frequently cause catastrophic damage .,Argument_for,train
gun control,http://gun-control.procon.org/,http://web.archive.org/web/20161107162400/http://gun-control.procon.org/,225b4210752430f82f3deefa6c73964c,Five women are murdered with guns every day in the United States .,Argument_for,test
gun control,http://www.pbs.org/wgbh/pages/frontline/shows/guns/procon/,http://web.archive.org/web/20160824135241/http://www.pbs.org/wgbh/pages/frontline/shows/guns/procon/,986709cb80a1c1624eca40be8d4ac108,"Larson tracks the gunmaker , the gundealer and the 16 year-old murderer .",Argument_for,train
gun control,http://www.huffingtonpost.com/tanushree-ghosh/a-list-of-the-reasons-cit_b_8236494.html,http://web.archive.org/web/20160912131326/http://www.huffingtonpost.com/tanushree-ghosh/a-list-of-the-reasons-cit_b_8236494.html,b7c8a278e6c93f67afd4cdb0eff326e7,Criminals will break laws any ways .,Argument_against,val
gun control,http://reason.com/archives/2013/07/18/why-second-amendment-supporters-are-righ,http://web.archive.org/web/20160508032850/http://reason.com:80/archives/2013/07/18/why-second-amendment-supporters-are-righ,235e2a0e3cfaffeb2aa174d9d178ba99,We should have more of it !,Argument_for,train
gun control,http://www.debate.org/opinions/what-are-the-pros-yes-and-cons-no-of-gun-control,http://web.archive.org/web/20160429233639/http://www.debate.org:80/opinions/what-are-the-pros-yes-and-cons-no-of-gun-control,9bf295aa6efbe75945bb6354a39de040,How would we be able to recollect all the guns ??,Argument_against,train
gun control,http://www.debate.org/opinions/what-are-the-pros-yes-and-cons-no-of-gun-control,http://web.archive.org/web/20160429233639/http://www.debate.org:80/opinions/what-are-the-pros-yes-and-cons-no-of-gun-control,1e4b12b5be2ef954cd3987c218df0083,"Yes , there should be gun control .",Argument_for,val
gun control,http://gun-control.procon.org/view.resource.php?resourceID=006436,http://web.archive.org/web/20160508100635/http://gun-control.procon.org:80/view.resource.php?resourceID=006436,86100e5d72889f7cca70e21008326b12,"Despite images of the "" Wild West "" from movies , cities in the frontier often required visitors to check their guns with the sheriff before entering the town .",Argument_for,train
gun control,http://gun-control.procon.org/,http://web.archive.org/web/20161107162400/http://gun-control.procon.org/,379928aa21021f58a703296a8d106ae8,Guns are rarely used in self-defense .,Argument_for,test
gun control,http://reason.com/archives/2013/07/18/why-second-amendment-supporters-are-righ,http://web.archive.org/web/20160508032850/http://reason.com:80/archives/2013/07/18/why-second-amendment-supporters-are-righ,53b68fe5bcf28fb47b3b2299f62af57c,Firearms are not the cause of violence in our country !,Argument_against,val
gun control,http://aattp.org/how-to-win-an-argument-with-a-gun-nut-every-time/,http://web.archive.org/web/20160512074738/http://aattp.org:80/how-to-win-an-argument-with-a-gun-nut-every-time/,ebca7f1f5ae0f0e32c3f651fdbd8f9d1,"… And then , of course , “ Shall not be infringed . ”",Argument_against,train
gun control,http://www.rollingstone.com/politics/news/4-pro-gun-arguments-were-sick-of-hearing-20151001,http://web.archive.org/web/20160510040654/http://www.rollingstone.com:80/politics/news/4-pro-gun-arguments-were-sick-of-hearing-20151001?,e963e6aaf0f0a1eac1d735bb45a1a5da,"People kill people . """,Argument_against,train
gun control,http://www.debate.org/opinions/what-are-the-pros-yes-and-cons-no-of-gun-control,http://web.archive.org/web/20160429233639/http://www.debate.org:80/opinions/what-are-the-pros-yes-and-cons-no-of-gun-control,375c96004baef701dd5cfba988f13dfe,Guns are our rights !,Argument_against,train
gun control,http://www.debate.org/opinions/what-are-the-pros-yes-and-cons-no-of-gun-control,http://web.archive.org/web/20160429233639/http://www.debate.org:80/opinions/what-are-the-pros-yes-and-cons-no-of-gun-control,54e69f9635134cf42fd566d53839ab5e,"Criminals , by definition , do n't follow the law .",Argument_against,train
gun control,http://www.enkivillage.com/the-best-arguments-for-gun-control.html,http://web.archive.org/web/20161010200322/http://www.enkivillage.com/the-best-arguments-for-gun-control.html,d90b919538760ccc3f277f388ffb14e1,"Well , this worked in Australia .",Argument_for,train
gun control,http://listverse.com/2013/12/12/10-arguments-against-gun-control/,http://web.archive.org/web/20160616054535/https://listverse.com/2013/12/12/10-arguments-against-gun-control/,126849bfbea0935001612c98ba3cbdee,Have we controlled much of anything ?,Argument_against,train
