sentence_id,sentence,context,topic,label,#positive,#negative,sentence_internal_id,val,test
10,"So if you think that people get value off of art or if people get value from listening to music, if it makes our lives better it's important, make sure the you're supporting the people who give you that sense of happiness when you listen to a great song and debate we which this is supported, is by making sure they're able to make a living by doing what they're doing, but without an intellectual property right it's, impossible for them to actually make this living because anyone can just rip them off use their song","And the reason for this is because I'm, if we want people to say create music, people are going to be able to spend their lives creating music or art or things like that unless you give them a way to make money off of that  So if you think that people get value off of art or if people get value from listening to music, if it makes our lives better it's important, make sure the you're supporting the people who give you that sense of  happiness when you listen to a great song and debate we which this is supported, is by making sure they're able to make a living by doing what they're doing, but without an intellectual property right it's, impossible for them to actually make this living because anyone can just rip them off use their song",We should abolish intellectual property rights,0,1,2,803,FALSE,TRUE
11,"We should not ban cosmetic surgery, I'm going to present three arguments for why this is the case first personal freedom, we think that it is fundamentally arbitrary to ban cosmetic surgery when we allow people to make lots of other ultimately harmful decisions in order to pursue a more attractive figure or face, we think that prince since we allow people to take on a diet supplements and things like that that are heavily regulated we allow people to diet and exercise in unhealthy ways","  We should not ban cosmetic surgery, I'm going to present three arguments for why this is the case first personal freedom, we think that it is fundamentally arbitrary to ban cosmetic surgery when we allow people to make lots of other  ultimately harmful decisions in order to pursue a more attractive figure or face, we think that prince since we allow people to take on a diet supplements and things like that that are heavily regulated we allow people to diet and exercise in unhealthy ways",We should ban cosmetic surgery,1,2,1,489,FALSE,TRUE
12,"But but nevertheless exist in an informal capacity off campus, because, like, obviously you can stop people from getting houses off campus with their friends and having people over and you can't stop people from just like associating with other people as individuals off campus that's, like a clear like constitutional issue, their freedom of association","If you tried to ban frats situation like you see at places like brandeis, where that's our informally recognize  But but nevertheless exist in an informal capacity off campus, because, like, obviously you can stop people from getting houses off campus with their friends and having people over and you can't stop people from just like associating with other people  as individuals off campus that's, like a clear like constitutional issue, their freedom of association",We should ban fraternities,0,1,2,1210,FALSE,TRUE
13,"And even a minor way, we think that beauty pageants art expression expression of speech, and the idea that government should go in and banned them is taking away the rights of individuals simply because some people feel unsafe, although many liberals like to express the idea that hate speech are problematic speech should be banned giving this sort of power to government government can easily lead to a turning of the tides","My second overview is about the idea of government action government should not go in and ban anything that they feel is problematic  And even a minor way, we think that beauty pageants art expression expression of speech, and the idea that government should go in and banned them is taking away the rights of individuals simply because some people feel unsafe, although many  liberals like to express the idea that hate speech are problematic speech should be banned giving this sort of power to government government can easily lead to a turning of the tides",We should ban beauty contests,1,3,0,944,FALSE,TRUE
14,"And while we may provide these rights to animals on certain occasions, because we can see their pain for instance, in this may provide us with this utility, the rights of animals do not exist in the ethereal sounds and do not exist within our social constructs unless we've created them in that way given that in these rate in these regions, the cultures existed in the morality has come to exist in a way that is excluded","So certainly what animals not have rights rights as they exist are simply a construct of human creation rights, if they do existing ministerial signs are not something that we can come to understand rather rights exist in order to insure protections for people to ensure that there are certain things that are never taken away from individuals, freedoms and liberties that people always have that are held sacred animals as they are not part of our society as they're, not part of that political discourse do not participate in the construction of those rights  And while we may provide these rights to animals on certain occasions, because we can see their pain for instance, in this may provide us with this utility, the rights of animals do not exist in the ethereal sounds and do  not exist within our social constructs unless we've created them in that way given that in these rate in these regions, the cultures existed in the morality has come to exist in a way that is excluded",Bullfighting should be banned,0,1,2,1066,FALSE,TRUE
15,We don't think that the point of these laws is to prosecute to fifteen year old to decide that they want to have sex or to juniors in high school who decide they want to have sex,So let's start by talking about what were ultimately not going to defend  We don't think that the point of these laws is to prosecute to fifteen year old to decide that they want to have sex or to juniors in high school who decide they want to have sex  ,We should lower the age of consent,0,0,3,1657,FALSE,TRUE
16,So a lot of ways you can make it harder for women to get jobs if you bad UT contest that would be very good and for all of those reasons among others were incredibly proud to oppose this motion,"A beauty contest is often times a very good way to get name recognition it's, essentially like free advertising as a way to get your name out there to get like your like personality out there to get the way you look out there, this could be very important to landing future jobs  So a lot of ways you can make it harder for women to get jobs if you bad UT contest that would be very good and for all of those reasons among others were incredibly proud to oppose this motion  ",We should ban beauty contests,1,3,0,923,FALSE,TRUE
17,"So this is going to mean that people are still going to get cosmetic surgery, but it's going to be let's","And this is important because then you're not necessarily going to have is informed decisions because you're not gonna have the same laws regarding what doctors have to see to their patients you're, not going to have the same safety checks to make sure things like equipment is clean doctors are qualified, are you won't have those concerts are you one of those things  So this is going to mean that people are still going to get cosmetic surgery, but it's going to be let's  ",We should ban cosmetic surgery,1,2,1,636,FALSE,TRUE
18,"Look, it is really important to recognize the circumstances that odd that sam talks about having anonymous posts are not the majority of circumstances in which they are used sure we agree sometimes awful people do awful things by manipulating the fact that they are anonymous and allowing themselves to post really awful things from behind the mask of anonymity, the internet offers, but just because that not minority of individuals exists doesn't mean you should remove the anonymity of many, many, many other people who are doing things that are infinitely better","First, online, animist posts are necessary  Look, it is really important to recognize the circumstances that odd that sam talks about having anonymous posts are not the majority of circumstances in which they are used sure we agree sometimes awful people do awful things by manipulating the  fact that they are anonymous and allowing themselves to post really awful things from behind the mask of anonymity, the internet offers, but just because that not minority of individuals exists doesn't mean you should remove the anonymity of many, many, many other people who are doing things that are infinitely better",We should ban anonymous posts,0,1,2,1338,FALSE,TRUE
19,"When people start drinking at a younger age they're, more likely to abuse alcohol form, lifelong habits, possibly more likely to get addicted to it as well because they're being influenced by it at a very young age, and it becomes like a real part of their existence","Younger people are going to be more likely to do reckless behaviors like drive drunk to get into like fight strong to do other kinds of disturbances for society, while drunk and that's, obviously a big problem, good dition, only younger people are also more likely to be influenced on how loud the hole in very insidious ways  When people start drinking at a younger age they're, more likely to abuse alcohol form, lifelong habits, possibly more likely to get addicted to it as well because they're being influenced by it at a very young age, and it becomes  like a real part of their existence",We should lower the drinking age,1,3,0,334,FALSE,TRUE
20,"The very beginning of this debate is that it has been a cultural institution within the communities that practices such as spain, portugal and parts of southern france for hundreds of years, fighting's tied in with the cultural identity of these regions, deep way it has been part of festivals and celebrations of triumphs and of the history of these people in the culture of these people for hundreds of years","What is important a recognizable fighting  The very beginning of this debate is that it has been a cultural institution within the communities that practices such as spain, portugal and parts of southern france for hundreds of years, fighting's tied in with the cultural identity of these  regions, deep way it has been part of festivals and celebrations of triumphs and of the history of these people in the culture of these people for hundreds of years",Bullfighting should be banned,1,2,1,1055,FALSE,TRUE
21,"I stand and firm opposition to the motion that we should ban beauty pageants, although my opponent would like to discuss at length, how beauty pageants reinforce an entrenched problematic beauty standards, so unclear how these standards will ever be solved, simply by banning beauty pageants","  I stand and firm opposition to the motion that we should ban beauty pageants, although my opponent would like to discuss at length, how beauty pageants reinforce an entrenched problematic beauty standards, so unclear how these standards will ever be solved,  simply by banning beauty pageants",We should ban beauty contests,1,2,1,941,FALSE,TRUE
22,"But in addition to that, I also think that they can be more effective in there you like solar energy can be more much more effective in its use of export it compared to wind farms, wind power in now there is a few reasons for this of first and foremost because of the potential for energy","You have animals that like live around there too, you have birds that go there, obviously like sea animals and there's all kinds of ways in which having like fast moving wind turbines can be really destructive snacks, natural ecosystems, much more so than solar panels, which you can just like plop on a roof or plop on the roads or in the middle of the desert, where there isn't all that much stuff, and they work pretty well, you don't really get in the way of a bunch  But in addition to that, I also think that they can be more effective in there you like solar energy can be more much more effective in its use of export it compared to wind farms, wind power in now there  is a few reasons for this of first and foremost because of the potential for energy",We should further exploit wind power,1,3,0,1047,FALSE,TRUE
23,First on why this is simply a good intermediate tool for law enforcement to use given that on the given that without it,"Why laws that govern anti social behavior and prohibit anti social behavior are generally good, three main areas of clash  First on why this is simply a good intermediate tool for law enforcement to use given that on the given that without it  ",We should abolish anti-social behavior orders,1,3,0,1114,FALSE,TRUE
24,"We should not ban beauty pageants and just to be clear what we're defending on our side, we would be fine with having a minimum age to enter beauty pageants, but we think that it would be wrong to categorically banned them completely and society","  We should not ban beauty pageants and just to be clear what we're defending on our side, we would be fine with having a minimum age to enter beauty pageants, but we think that it would be wrong to categorically banned  them completely and society",We should ban beauty contests,1,2,1,865,FALSE,TRUE
25,"The first is that the first trimester is not enough time for people to make the decision whether or not to have an abortion, the other side tells you that there are okay with allowing people to exercise their choice during the first few months of pregnancy, but we think that there are many reasons why someone might need or want an abortion very reasonably after that time period","So we'll say it should be done during the period in which this is safe for the mother we have three arguments for our side  The first is that the first trimester is not enough time for people to make the decision whether or not to have an abortion, the other side tells you that there are okay with allowing people to exercise their choice during  the first few months of pregnancy, but we think that there are many reasons why someone might need or want an abortion very reasonably after that time period",We should ban partial birth abortions,1,3,0,51,FALSE,TRUE
26,"Adults do they can take actions that harm others such as driving while drunk, we think a higher drinking it allows you to ensure that when people do these types of things you can pull them aside, you can rest them","We think they're more likely to suffer from alcohol poisoning, because they perceive alcohol as this type of thing that allows them to remove their inhibitions allows them to be social lowson to party things that have been developed within our popular media around the image of alcohol, which means they're more likely to suffer from alcohol poisoning, or because they don't have the maturity to make responsible decisions in the same way  Adults do they can take actions that harm others such as driving while drunk, we think a higher drinking it allows you to ensure that when people do these types of things you can pull them aside, you can rest them  ",We should lower the drinking age,1,3,0,397,FALSE,TRUE
27,"We think things like roads, we think a central emergency services must be solved through collective action","The second argument is that this creates profound collective action problems  We think things like roads, we think a central emergency services must be solved through collective action  ",We should adopt libertarianism,0,1,2,273,FALSE,TRUE
28,"One on how blocks bring more power to the region and to on how economic dependence between nations is a good thing, particularly in an otherwise rather tense region of the world, a few points of refutation t I'll before we go to the argument","  One on how blocks bring more power to the region and to on how economic dependence between nations is a good thing, particularly in an otherwise rather tense region of the world, a few points of refutation t I'll before we  go to the argument",We should disband ASEAN,1,2,1,1640,FALSE,TRUE
29,So I think it's worth recognizing then that the veto power is one of the only things actually ensuring the stability and continuity at the united nations,"So it's key to continue the membership as well because nations are likely to leave the you, and if they don't think it works to their advantage, this was talked about extensively in the lead up to the iraq war back in two thousand four  So I think it's worth recognizing then that the veto power is one of the only things actually ensuring the stability and continuity at the united nations  ",We should abolish the United Nations Security Council veto power,1,3,0,1508,TRUE,FALSE
30,"I'm proud to stand in opposition to the motion that we should lower the drinking age, three, independent points","  I'm proud to stand in opposition to the motion that we should lower the drinking age, three, independent points  ",We should lower the drinking age,0,0,3,342,FALSE,TRUE
31,"So for all those reasons, very proud to oppose this motion","And I think that's one of the most important things about the internet, the way in which it encourages you to express yourself and that's incredibly important for making sure that you actually can have real discourse and it's important for making sure that there's real discussion happening over a diverse set of you points rather than just a more focused, sat of what are seen as the socially acceptable view points  So for all those reasons, very proud to oppose this motion  ",We should ban anonymous posts,0,0,3,1389,FALSE,TRUE
32,"Then, because we think that drinking is something that is a particularly important decision, not just in terms of the way that it can affect your life","This is important  Then, because we think that drinking is something that is a particularly important decision, not just in terms of the way that it can affect your life  ",We should lower the drinking age,0,0,3,348,FALSE,TRUE
33,"It just means that people that watch this intellectual property be created, will be able to package it and that corporations will be able to sell it as their own without any sort of royalty going to the creator of this property given that there is a profit that is going to be generated from valuable intellectual property","And because of this, if you do not guarantee the protection of that of that property right for the people that have created it, people are still going to profit off of these intellectual property creations, people this isn't just going to sit in the ether and everyone is going to be able to freely use it  It just means that people that watch this intellectual property be created, will be able to package it and that corporations will be able to sell it as their own without any sort of royalty going to the creator of this  property given that there is a profit that is going to be generated from valuable intellectual property",We should abolish intellectual property rights,0,1,2,735,FALSE,TRUE
34,"We think that every given person in society knows their own best interest and their own long term goals better than the government knows any individual goals, we think the government should probably intervene if there are harms to others or if people are grossly lacking in information but that's, not the case here no one else is harmed all deal more with this in just a minute, but no one else is harmed by you choosing to get facelift and in terms of access to information doctors are already legally obliged to provide you with a great deal of information","Ultimately, we don't see why cosmetic surgery is the one place we all draw the line, particularly when it's conducted by a doctor who presumably can maximize the safety of the procedure, but on top of that, we think that you should always preference more freedom for individuals  We think that every given person in society knows their own best interest and their own long term goals better than the government knows any individual goals, we think the government should probably intervene if there are harms to others or  if people are grossly lacking in information but that's, not the case here no one else is harmed all deal more with this in just a minute, but no one else is harmed by you choosing to get facelift and in terms of access to information doctors are already legally obliged to provide you with a great deal of information",We should ban cosmetic surgery,1,2,1,491,FALSE,TRUE
35,"The first is about incentivizing creation, and the second is about how this works internationally","So with that in mind, we have a couple of arguments for our side  The first is about incentivizing creation, and the second is about how this works internationally  ",We should abolish intellectual property rights,0,0,3,813,FALSE,TRUE
36,"We think they're more likely to suffer from alcohol poisoning, because they perceive alcohol as this type of thing that allows them to remove their inhibitions allows them to be social lowson to party things that have been developed within our popular media around the image of alcohol, which means they're more likely to suffer from alcohol poisoning, or because they don't have the maturity to make responsible decisions in the same way","We would say that use lacked the emotional maturity to drink responsibly  We think they're more likely to suffer from alcohol poisoning, because they perceive alcohol as this type of thing that allows them to remove their inhibitions allows them to be social lowson to party things that have been developed within our  popular media around the image of alcohol, which means they're more likely to suffer from alcohol poisoning, or because they don't have the maturity to make responsible decisions in the same way",We should lower the drinking age,1,3,0,396,FALSE,TRUE
37,"I think this is a true when you look at like monarchies too people often don't odd, you know, defend the monarchy by saying like this is like this really logical system that clearly works in the benefits of individuals like, of course it does","We believe that the electoral college is really tightly ingrained to the identity of the united states, the something personal leave the people feel a lot of personal pride in, and this is something that matters a lot to them  I think this is a true when you look at like monarchies too people often don't odd, you know, defend the monarchy by saying like this is like this really logical system that clearly works in the benefits of individuals like,  of course it does",We should abolish the US Electoral College,0,0,3,1426,FALSE,TRUE
38,"For instance, the US doesn't have to go into the awkward position of defending israel from a foreign invasion because of the UN security council","But what's important is that right now the u n doesn't, take actions that back major countries into a corner  For instance, the US doesn't have to go into the awkward position of defending israel from a foreign invasion because of the UN security council  ",We should abolish the United Nations Security Council veto power,1,2,1,1556,FALSE,TRUE
39,Look at the end of the day bullfighting kills a bowl instruct the more entertaining way than the slaughter house,"The reason that the right to life has become so valuable is because most of the vast majority of people choose to acknowledge that that right is important and respect that claim to rights from other people, I choose not to kill others in part because I do not want to set up a norm system where people could kill me  Look at the end of the day bullfighting kills a bowl instruct the more entertaining way than the slaughter house  ",Bullfighting should be banned,0,1,2,1092,FALSE,TRUE
40,In order to serve this ideal say that I was born with a disfigurement of some sort that makes me ashamed or in secure,They have the burden to explain why they think that it's legitimate to force a lot of people to suffer through a miserable life in which they feel very much I'm comfortable in their own skin  In order to serve this ideal say that I was born with a disfigurement of some sort that makes me ashamed or in secure  ,We should ban cosmetic surgery,0,0,3,595,FALSE,TRUE
41,"For example, you can test and winners are able to make money and get some sort of a platforms in the contest and they win whether it's a large pat platformer, small platform depends obviously on the size, but we think that women are able to use their success in these contests to further propagate themselves whether it be in the business world or whatever other interests they may have, and we can that's a positive thing for women to be able to do and to be able to take hold of their own empowerment for these things","We think that this needs to be weighed against the fact that women use their agency to make this decision about whether or not they're going to participate in beauty contests and we think that your contents can have positive impacts for the women that choose to participate in them  For example, you can test and winners are able to make money and get some sort of a platforms in the contest and they win whether it's a large pat platformer, small platform depends obviously on the size, but we think  that women are able to use their success in these contests to further propagate themselves whether it be in the business world or whatever other interests they may have, and we can that's a positive thing for women to be able to do and to be able to take hold of their own empowerment for these things",We should ban beauty contests,1,2,1,853,FALSE,TRUE
42,They also usually include a talent competition or some kind of physical competition,"So beauty, pageants, art, trust how attractive you are  They also usually include a talent competition or some kind of physical competition  ",We should ban beauty contests,0,0,3,896,FALSE,TRUE
43,"This is a feeling of shame that escorts you everywhere you go even when you are alone, every mirror mirror becomes your enemy","So we say that when a person is unhappy with a certain feature of his appearance, this can massively harm his his like feeling of self worth and self confidence you feel trapped in your own body and there's no escape  This is a feeling of shame that escorts you everywhere you go even when you are alone, every mirror mirror becomes your enemy  ",We should ban cosmetic surgery,0,0,3,604,FALSE,TRUE
44,"This means more and more immersion in sex before you are old enough to even conceptualize it, what it might be government is right, you can't remove all the influences, but you can definitely not add to that fire by removing the age of consent society has gone far enough with sexual icing young women","But we also think that there's going to be a general increase in more suggestive media with you as you see less and less stigmatization of young sex  This means more and more immersion in sex before you are old enough to even conceptualize it, what it might be government is right, you can't remove all the influences, but you can definitely not add to that fire by removing  the age of consent society has gone far enough with sexual icing young women",We should lower the age of consent,1,2,1,1710,FALSE,TRUE
45,"Then if we wait and let the market decide what we should adopt our second argument is that government money is fungible what we mean by this is that giving money to corporations is not preferable to giving money to the american people recognize that this is basically corporate welfare, you say, if you do the kind of production that we want we will subsidize you will give you some money back but that's money that isn't going to other programs like snap or wake which are important american social welfare programs","So ultimately, we might be left with the laughs, efficient form of alternative energy  Then if we wait and let the market decide what we should adopt our second argument is that government money is fungible what we mean by this is that giving money to corporations is not preferable to giving money to the  american people recognize that this is basically corporate welfare, you say, if you do the kind of production that we want we will subsidize you will give you some money back but that's money that isn't going to other programs like snap or wake which are important american social welfare programs",We should subsidize biofuels,1,3,0,92,FALSE,TRUE
46,"The only problem is they would have had to renegotiate benefit that time and time again that would have been turned down half the time that's the kind of thing that creates on comfort that's, the kind of thing that creates tensions between two countries","He sort of right, you have to compare to the counter factual it's, not like outside of ACA and thailand would've been rich, there would've been poor and probably would have been substantially poorer and it's not like that wouldn't have gone to singapore, malaysia for money and for assistance because they would have needed the assistance  The only problem is they would have had to renegotiate benefit that time and time again that would have been turned down half the time that's the kind of thing that creates on comfort that's, the kind of thing that creates  tensions between two countries",We should disband ASEAN,0,0,3,1649,FALSE,TRUE
47,"The first is that it corrects free black, a big stay control of the senate by giving more weight to those big states","So we have a few reasons why we think the electoral college is good  The first is that it corrects free black, a big stay control of the senate by giving more weight to those big states  ",We should abolish the US Electoral College,1,2,1,1442,FALSE,TRUE
48,"We wonder therefore are they also in favor of banning make up high heels, what about libel section surgeries, what about going to the dentist to make your teeth whiter, but about tattoos we say that all of these examples are also like following from the logic of the analysis of side government","They talk about how this medic surgery enhances the model of beauty and all of its harms to society  We wonder therefore are they also in favor of banning make up high heels, what about libel section surgeries, what about going to the dentist to make your teeth whiter, but about tattoos we say that all of these examples are  also like following from the logic of the analysis of side government",We should ban cosmetic surgery,0,1,2,588,FALSE,TRUE
49,"So I want to talk about what's in avoids talking about in these are specific populations that this proposition is going to be very, very problematic for we're talking, of course, about religious populations where any type of sexual education that is not abstinence only will be perceived by parents as an attempt of the school or of the state to corrupt their children, and we think that the potential to backlash in this sensitive matter is huge as we've already mentioned earlier, schools, avoid inserting politics into the classroom and there's no way around this six is a political issue","Now I don't know where ten gets his data from on like places without sex education, having more problems, but they don't sound reliable and even if they are the only establishes correlation it's best to not because ation to the constructive  So I want to talk about what's in avoids talking about in these are specific populations that this proposition is going to be very, very problematic for we're talking, of course, about religious populations where any type of sexual education that  is not abstinence only will be perceived by parents as an attempt of the school or of the state to corrupt their children, and we think that the potential to backlash in this sensitive matter is huge as we've already mentioned earlier, schools, avoid inserting politics into the classroom and there's no way around this six is a political issue",Sex education should be mandatory,1,2,1,691,FALSE,TRUE
50,"The problem is that for centuries, male dominance, his lead to our society to a situation in which it is no longer socially acceptable for women to publicly rate men on their appearance, whereas to mend this is still considered","This is true to both men and women  The problem is that for centuries, male dominance, his lead to our society to a situation in which it is no longer socially acceptable for women to publicly rate men on their appearance, whereas to mend this is still considered  ",We should ban beauty contests,0,0,3,836,TRUE,FALSE
51,So the number that appears in these laws is some sort of anchor that dictates the general area of ages in which people are going to like in which children are going to have sex with adults,"And the thing is that no matter where we said if we have to take into account that there are there's like always a certain erosion in the way that people actually follow these laws, this is a law that is by nature, not allowing the state where the police to enforce it strictly at best we only find out about like five to ten percent of the cases where people break this law, this is much like speed signs where it is clear to us that people are always going to be driving like ten to fifteen percent faster than what is legally allowed  So the number that appears in these laws is some sort of anchor that dictates the general area of ages in which people are going to like in which children are going to have sex with adults  ",We should lower the age of consent,0,0,3,1690,FALSE,TRUE
52,We think it's clear that we should not abolish intellectual property rights,So we think therefore that this is a really bad policy for any government to implement for all of these reasons  We think it's clear that we should not abolish intellectual property rights  ,We should abolish intellectual property rights,0,0,3,830,FALSE,TRUE
53,"We also live in a society that has guaranteed people certain rights, for instance, the right to freedom of expression or the right to practice their religion","But if you compare with the harm of losing a few dollars when you're a billionaire to the benefit of receiving a few dollars in goods, when you are someone living in poverty, we think that obviously the marginal value of that money is much greater to these low income people but what's more  We also live in a society that has guaranteed people certain rights, for instance, the right to freedom of expression or the right to practice their religion  ",We should adopt libertarianism,0,0,3,286,TRUE,FALSE
54,"The reason that we were care about free speech is simply because it's facilitative to all their rights, you need to put your opinions out there so that governments and the public are aware that there is support for a specific ideology and can respond appropriately","But secondly, we think that there is a like fundamental right to remain anonymous on the basis that we think that opinion should just be expressed regardless of you don't look, we don't think that you need to tie your name to something to be to be capable of expressing an opinion  The reason that we were care about free speech is simply because it's facilitative to all their rights, you need to put your opinions out there so that governments and the public are aware that there is support for a specific  ideology and can respond appropriately",We should ban anonymous posts,0,0,3,1398,TRUE,FALSE
55,We think that being able to prioritize what is best for your future is very important because it's not the case that everyone is going to go off and need to be incredibly physically active in order to succeed in life,"We think that when this can actually have an impact on what your transcript looks like and where you can get into college, it is preferable for you to not be bound by mandatory classes  We think that being able to prioritize what is best for your future is very important because it's not the case that everyone is going to go off and need to be incredibly physically active in order to succeed in life  ",Physical education should be mandatory,1,2,1,1317,FALSE,TRUE
