topic,retrievedUrl,archivedUrl,sentenceHash,sentence,annotation,set,annotation_real
abortion,http://prolifetraining.com/resources/five-minute-1/,http://web.archive.org/web/20161022234156/http://prolifetraining.com/resources/five-minute-1/,e2090e98bebf0b61dfbe4b78733da965,Some people say that self-awareness makes one human .,NoArgument,train,NoArgument
abortion,http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,http://web.archive.org/web/20160916225634/http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,ab53019886a4659ac20ccef0ae3daad5,Keep in mind that I do not use this illustration to mean that women are just baby-making machines . ,NoArgument,train,NoArgument
abortion,http://www.slate.com/articles/news_and_politics/frame_game/2013/02/abortion_polls_are_single_issue_voters_pro_life_or_pro_choice.html,http://web.archive.org/web/20151003145841/http://www.slate.com/articles/news_and_politics/frame_game/2013/02/abortion_polls_are_single_issue_voters_pro_life_or_pro_choice.html,5652a919f01945a1d27dd91ee7b3020c,"This is the only time Ive seen no measurable net decline in pro-choice sentiment , relative to pro-life sentiment , when the pool narrows to high-intensity respondents .",NoArgument,train,NoArgument
abortion,http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/,http://web.archive.org/web/20160502081158/http://www.choicematters.org:80/2007/12/legal-abortion-arguments-pro-con/,b14e30baa265b0a17d889dc637075007,Almost all legislators who oppose abortion rights also support the death penalty .,NoArgument,train,NoArgument
abortion,http://www.peterkreeft.com/topics-more/personhood_apple.htm,http://web.archive.org/web/20161109201817/http://www.peterkreeft.com/topics-more/personhood_apple.htm,41f147ca58eb6d8dcf6a86842f18bf2b,"They radically disagree about how to apply the principle that human life is valuable , but they both assume and appeal to that same principle .",NoArgument,train,NoArgument
abortion,http://www.abort73.com/abortion/,http://web.archive.org/web/20160409155215/http://www.abort73.com:80/abortion/,25f082942c43afa8956f3ea998d52ffd,"Seventy percent of U.S. abortions are performed on "" Christian "" women .",NoArgument,train,NoArgument
abortion,https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/,http://web.archive.org/web/20160909023546/https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/,717c58d63be9c9f49db851a614532838,Though there have been no cases brought against doctors that would perform such an abortion in NI .,NoArgument,train,NoArgument
abortion,http://www.newyorker.com/news/daily-comment/arguing-abortion,http://web.archive.org/web/20160423035951/http://www.newyorker.com:80/news/daily-comment/arguing-abortion,b5a9118ad6780cbc42fcb9a7cbe4df43,â€œ Pro : Reclaiming Abortion Rights  has two major originalities .,NoArgument,train,NoArgument
abortion,http://2008election.procon.org/view.resource.php?resourceID=1647,http://web.archive.org/web/20120731020017/http://2008election.procon.org/view.resource.php?resourceID=1647,caf8cdf8f61c3a8d7d029a8ea568f346,There 's no sensible argument for this -- it 's like we pulled numbers out of a hat or something .,NoArgument,train,NoArgument
abortion,http://www.abort73.com/abortion/,http://web.archive.org/web/20160409155215/http://www.abort73.com:80/abortion/,bd66e62aa4bc600d03c2afe533d19234,There is significant debate over when in pregnancy a fetus can feel pain .,NoArgument,train,NoArgument
abortion,http://www.ontheissues.org/Celeb/Donald_Trump_Abortion.htm,http://web.archive.org/web/20160504193451/http://www.ontheissues.org:80/Celeb/Donald_Trump_Abortion.htm,215aad57aa917f7b91cb7d3916ed0f65,TRUMP : I 've evolved on many issues over the years .,NoArgument,train,NoArgument
abortion,http://www.lifenews.com/2016/05/06/bodily-rights-arguments-for-abortion-are-always-extremist-arguments-with-no-compromise/,http://web.archive.org/web/20160507122331/http://www.lifenews.com/2016/05/06/bodily-rights-arguments-for-abortion-are-always-extremist-arguments-with-no-compromise/,2c93647b61099607621ed9ad5e73d726,I showed her fetal development pictures in the ERI brochure .,NoArgument,train,NoArgument
abortion,http://www.newyorker.com/news/daily-comment/arguing-abortion,http://web.archive.org/web/20160423035951/http://www.newyorker.com:80/news/daily-comment/arguing-abortion,706cd914b8235b9af3ca2d9c5f1e5b4c,"On the one hand , the various personhood amendments , making a fertilized egg equal to a woman , mostly failed ; on the other , representatives of the hard-line , forced-birth movement seemed to carry many a day and election .",NoArgument,train,NoArgument
abortion,http://www.americamagazine.org/issue/feminist-case-against-abortion,http://web.archive.org/web/20160422223822/http://americamagazine.org:80/issue/feminist-case-against-abortion,b598103160d0349623a64bf37a7a6439,But making abortion illegal ?,NoArgument,train,NoArgument
abortion,http://prolifetraining.com/resources/five-minute-1/,http://web.archive.org/web/20161022234156/http://prolifetraining.com/resources/five-minute-1/,0c9695089e51822a6b7d5751e1dc196f,"Level of development : True , embryos and fetuses are less developed than the adults theyll one day become .",NoArgument,train,NoArgument
abortion,http://www.listland.com/top-10-arguments-in-support-of-abortion/,http://web.archive.org/web/20160829133344/http://www.listland.com/top-10-arguments-in-support-of-abortion/,79471fc77b013e4a4c13b41974e068f2,"And yet , these things are constantly present in the modern world as they have been historically , because they account for circumstances that validate an act that may be morally wrong .",NoArgument,train,NoArgument
abortion,http://www.ontheissues.org/Celeb/Donald_Trump_Abortion.htm,http://web.archive.org/web/20160504193451/http://www.ontheissues.org:80/Celeb/Donald_Trump_Abortion.htm,764d63a0b0a6641588ef037636db7c6a,A lot of people consider it an abortion clinic .,NoArgument,train,NoArgument
abortion,http://www.slideshare.net/malifa89/pro-cons-of-abortion,http://web.archive.org/web/20160101163213/http://www.slideshare.net/malifa89/pro-cons-of-abortion,fb541718575276c756b73fea8e55ca02,I never got pregnant again .,NoArgument,train,NoArgument
abortion,http://www.americamagazine.org/issue/feminist-case-against-abortion,http://web.archive.org/web/20160422223822/http://americamagazine.org:80/issue/feminist-case-against-abortion,2eafd0419f09ea6c582f5cbe0e27621e,"Properly defined , feminism is a philosophy that embraces basic rights for all human beings without exception  without regard to race , religion , sex , size , age , location , disability or parentage .",NoArgument,train,NoArgument
abortion,http://www.balancedpolitics.org/abortion.htm,http://web.archive.org/web/20161018165433/http://balancedpolitics.org/abortion.htm,444b8acfc4280fe50ef8aea275ee66ac,Any court decisions related to abortion regularly bring protestors from both sides .,NoArgument,train,NoArgument
abortion,http://www.americamagazine.org/issue/feminist-case-against-abortion,http://web.archive.org/web/20160422223822/http://americamagazine.org:80/issue/feminist-case-against-abortion,5e087067177ace66bfb5e0e71a5de65b,"This essay , adapted from the landmark speech The Feminist Case Against Abortion ,  is part of Americas coverage of issues related to the Synod of Bishops on the Family .",NoArgument,train,NoArgument
abortion,http://www.uclalawreview.org/the-equality-argument-for-abortion-rights/,http://web.archive.org/web/20160805225641/http://www.uclalawreview.org/the-equality-argument-for-abortion-rights/,47adc0daed9426fa5303f57985a8d871,"Although there are two Due Process Clauses in the Constitution , these interpreters regard decisions like Roe , Casey , and Lawrence , which recognize substantive rather than proÂ­cedural due process rights , as lacking a basis in the text of the Constitution , hence as recognizing unenumerated rights . ",NoArgument,train,NoArgument
abortion,http://www.listland.com/top-10-arguments-in-support-of-abortion/,http://web.archive.org/web/20160829133344/http://www.listland.com/top-10-arguments-in-support-of-abortion/,b0407917a3ec0855fc44b75f15b637fe,Its atrocious that people need a blueprint on how to be a good  human .,NoArgument,train,NoArgument
abortion,https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/,http://web.archive.org/web/20160909023546/https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/,e89cae58d9f0e98f208bd515da793543,"Cystic Fibrosis and Huntington Disease fall into this category , and prenatal testing options are available for both .",NoArgument,train,NoArgument
abortion,http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,http://web.archive.org/web/20160902223828/http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,deb35943f94c9e8ffe5d25f753b39f63,She has the mental ability of a nine-month-old .,NoArgument,train,NoArgument
abortion,https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/,http://web.archive.org/web/20160909023546/https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/,b2c509bee0989516391d1827754b068d,"Or , if we grant that a fetus is a separate individual with future of value like ours , does it follow that women can choose to kill fetuses on the ground that they are trespassers ?",NoArgument,train,NoArgument
abortion,http://www.americamagazine.org/issue/feminist-case-against-abortion,http://web.archive.org/web/20160422223822/http://americamagazine.org:80/issue/feminist-case-against-abortion,dbcdab4b079c9df6796b0bc514886a22,"And pro-lifers have answered , What about the baby ? ",NoArgument,train,NoArgument
abortion,http://www.slate.com/articles/news_and_politics/frame_game/2013/02/abortion_polls_are_single_issue_voters_pro_life_or_pro_choice.html,http://web.archive.org/web/20151003145841/http://www.slate.com/articles/news_and_politics/frame_game/2013/02/abortion_polls_are_single_issue_voters_pro_life_or_pro_choice.html,3241791fdeec20e7cc17db55ade04e3c,"When the percentage of respondents who call abortion critical , very important , or a deal-breaker rises toward 30 percent or more , the balance of power begins to shift .",NoArgument,train,NoArgument
abortion,http://www.scotusblog.com/2016/02/argument-preview-new-look-at-abortion-after-nine-years/,http://web.archive.org/web/20160506130727/http://www.scotusblog.com:80/2016/02/argument-preview-new-look-at-abortion-after-nine-years/,ffd881cd10c260553d94282965a68b31,"That part of the law is in effect in most of the state , under earlier , temporary orders by lower courts and the Supreme Court , and it has had the effect of shutting down about half of the clinics existing in 2003 .",NoArgument,train,NoArgument
abortion,http://aclu.procon.org/view.answers.php?questionID=000677,http://web.archive.org/web/20140527155455/http://aclu.procon.org/view.answers.php?questionID=000677,80499034923f35e82d704052d34449fb,"Proponents of this bill claim that it will prohibit only a single , ' late-term ' abortion procedure .",NoArgument,train,NoArgument
abortion,http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,http://web.archive.org/web/20160902223828/http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,00200ec6576a394579881833876c43cb,"On the other , we are told that a child is what slutty sluts deserve for having sex outside of marriage .",NoArgument,train,NoArgument
abortion,http://www.ontheissues.org/Celeb/Donald_Trump_Abortion.htm,http://web.archive.org/web/20160504193451/http://www.ontheissues.org:80/Celeb/Donald_Trump_Abortion.htm,c1601eafb5d8f064abd5dc93b68444fa,"And I am very , very proud to say that I am pro-life .",NoArgument,train,NoArgument
abortion,http://www.listland.com/top-10-arguments-in-support-of-abortion/,http://web.archive.org/web/20160829133344/http://www.listland.com/top-10-arguments-in-support-of-abortion/,1eda0b267ebf32c247510ce77a9c95ee,A mothers right to decide to not put her child through that kind of suffering is her right and her right alone .,Argument_for,train,NoArgument
abortion,http://www.listland.com/top-10-arguments-in-support-of-abortion/,http://web.archive.org/web/20160829133344/http://www.listland.com/top-10-arguments-in-support-of-abortion/,7e8522b3b1c3544038537abd73746244,A woman can not sincerely be considered to have equal standing in society if she does not at least have the choice to remove the challenges that will come with a pregnancy .,Argument_for,train,Argument_for
abortion,http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,http://web.archive.org/web/20160916225634/http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,c85d89357c2d8dc4fbe1c3b92343f4cf,"I 've clearly stated that indirect abortion IS morally permissible in Church teaching , which is what inducing labor to remove the placenta would be ( regardless if it is pre - or post-viability ) .",Argument_for,train,Argument_for
abortion,https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/,http://web.archive.org/web/20160909023546/https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/,713a0559b1b0c3afaba4098b6ae70c57,"( Its also worth noting that many women can receive earlier term abortions after discovering their child has Down Syndrome , since early tests are available that can screen for it in the first trimester , so it is much less relevant to the late term abortion debate than most pro-lifers imply . )",Argument_for,train,Argument_for
abortion,http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/,http://web.archive.org/web/20160502081158/http://www.choicematters.org:80/2007/12/legal-abortion-arguments-pro-con/,7a5cbb2d06db9545b7c9c52e6e206ae5,"Only a small percentage of physicians perform abortions , yet most support legal abortion in the interest of good medical care .",Argument_for,train,NoArgument
abortion,http://www.americamagazine.org/issue/feminist-case-against-abortion,http://web.archive.org/web/20160422223822/http://americamagazine.org:80/issue/feminist-case-against-abortion,cc302c2b217e48437b7ee4563474debb,Being pregnant can be very hard for some women and even lead to suicide for a woman with an unwanted pregnancy .,Argument_for,train,NoArgument
abortion,http://www.slate.com/articles/news_and_politics/frame_game/2013/02/abortion_polls_are_single_issue_voters_pro_life_or_pro_choice.html,http://web.archive.org/web/20151003145841/http://www.slate.com/articles/news_and_politics/frame_game/2013/02/abortion_polls_are_single_issue_voters_pro_life_or_pro_choice.html,1931f2945c2b6120a0a464ddd64e727e,Most think the abortion decision should be left to a woman and her doctor .,Argument_for,train,NoArgument
abortion,https://www.theguardian.com/science/blog/2015/aug/12/five-main-anti-abortion-arguments-examined,http://web.archive.org/web/20161011222245/https://www.theguardian.com/science/blog/2015/aug/12/five-main-anti-abortion-arguments-examined,96cf25992820b68156f73d61c1de0355,A foetus in the early stages of development lacks the developed nervous system and brain to feel pain or even be aware of their surroundings .,Argument_for,train,Argument_for
abortion,http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/,http://web.archive.org/web/20160502081158/http://www.choicematters.org:80/2007/12/legal-abortion-arguments-pro-con/,00d2c59f5789dbe3896a8bfc7c7ff7e5,"This vindictive , self-righteous attitude stems from a belief that sex is bad and must be punished .",Argument_for,train,NoArgument
abortion,http://www.listland.com/top-10-arguments-in-support-of-abortion/,http://web.archive.org/web/20160829133344/http://www.listland.com/top-10-arguments-in-support-of-abortion/,9ffcb4df405768e5a5e96ad5cf87df21,To deny a woman the option to abort a pregnancy when her own life is at risk is akin to forcing her to play Russian roulette .,Argument_for,train,Argument_for
abortion,http://www.cnn.com/2015/01/22/opinion/bachiochi-abortion-roe-v-wade/,http://web.archive.org/web/20161011214108/http://www.cnn.com/2015/01/22/opinion/bachiochi-abortion-roe-v-wade/,8be250400a1e8be3eba1fb9dbc2aa62c,"More poignantly , bearing a child while in poverty or while already overwhelmed by caregiving for other children , or perhaps while experiencing health risks , reeks of an injustice known to women alone .",Argument_for,train,Argument_for
abortion,http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,http://web.archive.org/web/20160902223828/http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,0dbb9844a3baad1bffdedf18056a913b,Abortion foes completely missed Seusss message.Even children recognize that human and person are two different concepts .,Argument_for,train,NoArgument
abortion,https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/,http://web.archive.org/web/20160909023546/https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/,8927e3882883b8685272fc5216761917,"Unfortunately , and ironically , anti-abortion legislation in multiple states aimed at reducing access by closing abortion clinics with unnecessary restrictions or requiring extra hurdles for women to obtain abortions ( like mandatory delay , ultrasounds , and/or counseling ) , has a counterproductive effect .",Argument_for,train,Argument_for
abortion,http://www.uclalawreview.org/the-equality-argument-for-abortion-rights/,http://web.archive.org/web/20160805225641/http://www.uclalawreview.org/the-equality-argument-for-abortion-rights/,2fafcb9d273261fcc01f1f95a03c18ec,"Equality arguments focus on a womans autonomy to determine her lifes course , and thus to enjoy equal citizenship stature . ",Argument_for,train,Argument_for
abortion,http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/,http://web.archive.org/web/20160502081158/http://www.choicematters.org:80/2007/12/legal-abortion-arguments-pro-con/,20428cecf663de5d20978fee756aa117,Forcing a woman to bear a rapists child is further torture of the victim of a heinous crime .,Argument_for,train,Argument_for
abortion,http://www.newyorker.com/news/daily-comment/arguing-abortion,http://web.archive.org/web/20160423035951/http://www.newyorker.com:80/news/daily-comment/arguing-abortion,6ac17172d81ae5b1402bc76a4a189269,What is not tolerable is trying to impose irrational intuitions on people who do not just fail to accept them but who feel that the removal of womens freedom is itself a moral crime .,Argument_for,train,Argument_for
abortion,http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/,http://web.archive.org/web/20160502081158/http://www.choicematters.org:80/2007/12/legal-abortion-arguments-pro-con/,50f3340c7c30b64516cdb0a6f1760417,"Birth control and abortion do not cause sex , but reality dictates that they be available to help prevent teens from becoming parents .",Argument_for,train,Argument_for
abortion,http://www.listland.com/top-10-arguments-in-support-of-abortion/,http://web.archive.org/web/20160829133344/http://www.listland.com/top-10-arguments-in-support-of-abortion/,dcfd824bcf39a4fd8c4bc32ed9f109f0,"If your life conceives suffering and unhappiness , to , most American at least that is considered a bad life .",Argument_for,train,NoArgument
abortion,http://www.procon.org/headline.php?headlineID=005220,http://web.archive.org/web/20141002071230/http://www.procon.org/headline.php?headlineID=005220,6d849b95bc156543a871491e63e280de,"Although the Catholic and Lutheran churches oppose abortion , more of their members believe abortion should be legal in all or most cases versus illegal in all or most cases ( 51 % vs. 45 % , Lutheran ; 48 % vs. 45 % , Catholic ) .",Argument_for,train,Argument_for
abortion,http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,http://web.archive.org/web/20160902223828/http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,588bcd1b04e43ae6f7f55c9280d72773,"How inconvenient that abortion is far , far safer than childbearing , which kills 800 American women each year .",Argument_for,train,Argument_for
abortion,http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,http://web.archive.org/web/20160916225634/http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,5f7faa9be19fa028e7ac86e3e95fb861,"The proposal can be simply to alter the childs physical dimensions and remove him or her , because , as a physical object , this body can not remain where it is without ending in both the babys and the mothers deaths .",Argument_for,train,Argument_for
abortion,http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,http://web.archive.org/web/20160916225634/http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,2e425f19934cf6cf0905d1c1fe6db37c,"In fact , abortion prior to Roe v. Wade was outlawed without legally defining the unborn as persons .",Argument_for,train,NoArgument
abortion,https://www.theguardian.com/science/blog/2015/aug/12/five-main-anti-abortion-arguments-examined,http://web.archive.org/web/20161011222245/https://www.theguardian.com/science/blog/2015/aug/12/five-main-anti-abortion-arguments-examined,cf17930299448a333fce28dbf76cb7f7,"This assertion is not borne out by the literature : the vast majority of women tolerate abortion without psychiatric sequelae  , a conclusion echoed in systematic reviews .",Argument_for,train,Argument_for
abortion,http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/,http://web.archive.org/web/20160502081158/http://www.choicematters.org:80/2007/12/legal-abortion-arguments-pro-con/,7ff51a1ec280bb00ba6ab9c282ef1856,The reproductive rights movement has no genocide component  no one is out to kill all embryos .,Argument_for,train,Argument_for
abortion,http://www.listland.com/top-10-arguments-in-support-of-abortion/,http://web.archive.org/web/20160829133344/http://www.listland.com/top-10-arguments-in-support-of-abortion/,5a805d10ff10e8ed6b558ee213760857,"Foster homes have horrible reputations and its not as often as people like to think that kids are adopted into families and live happily ever after , bringing a unwanted child into the over populated world as it is puts that child at risk for a life of pure struggle , babies should be welcomed into the world with their mother who sees them as a miracle and can provide for their child and put it through school and raise it into a life everyone deserves a chance at .",Argument_for,train,Argument_for
abortion,http://www.uclalawreview.org/the-equality-argument-for-abortion-rights/,http://web.archive.org/web/20160805225641/http://www.uclalawreview.org/the-equality-argument-for-abortion-rights/,66f45afe0f3cc8d30379dd2a104a080c,"When abortion restrictions reflect or enforce traditional sex-role stereotypes , equality arguments insist that such restrictions are suspect and may violate the U.S. Constitution .",Argument_for,train,Argument_for
abortion,https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/,http://web.archive.org/web/20160909023546/https://abortion.ws/2013/09/04/late-term-abortion-bans-the-pros-and-cons/,5ace96b468550ec3fa686022e7eaad80,"Most women affected by these laws still have abortions , but many seek them later due to their difficulty accessing services .",Argument_for,train,Argument_for
abortion,http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/,http://web.archive.org/web/20160502081158/http://www.choicematters.org:80/2007/12/legal-abortion-arguments-pro-con/,88455c5010027235b97647ad4a20f25f,Tests showing birth defects are not done until the 16th week ; and some women do not discover theyre pregnant until this time .,Argument_for,train,Argument_for
abortion,http://www.listland.com/top-10-arguments-in-support-of-abortion/,http://web.archive.org/web/20160829133344/http://www.listland.com/top-10-arguments-in-support-of-abortion/,67346bf4d4434a6772dcd20e821609e3,It is the womans right as a mother to decide what is best for her child .,Argument_for,train,NoArgument
abortion,http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,http://web.archive.org/web/20160902223828/http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,3d2886dea581e87d73b440e8db9b6a82,"If every snowflake is precious in His sight , God has a peculiar way of showing it , because spontaneous abortion is a critical part of reproduction  one of the key mechanisms for producing healthy babies .",Argument_for,train,Argument_for
abortion,http://www.healthguidance.org/entry/13561/1/Pros-and-Cons-of-Abortion.html,http://web.archive.org/web/20160425042210/http://www.healthguidance.org:80/entry/13561/1/Pros-and-Cons-of-Abortion.html,9f19afa18d726d8bc516e4d4378a031a,Even though adoption is an option what would it be like to see your child 20 years later and have them learn you did n't want them ?,Argument_for,train,NoArgument
abortion,http://www.uclalawreview.org/the-equality-argument-for-abortion-rights/,http://web.archive.org/web/20160805225641/http://www.uclalawreview.org/the-equality-argument-for-abortion-rights/,24eb46000dfe4dccbf348e6abbd55a26,"Likewise , in the stare decisis passages of Casey , the Court emphasizes , as a reason to reaffirm Roe , that [ t ] he ability of women to participate equally in the economic and soÂ­cial life of the Nation has been facilitated by their ability to control their reÂ­productive lives . ",Argument_for,train,Argument_for
abortion,http://www.listland.com/top-10-arguments-in-support-of-abortion/,http://web.archive.org/web/20160829133344/http://www.listland.com/top-10-arguments-in-support-of-abortion/,6914f124c49ce494ad81463d9ff8519c,Modern medicine makes abortion is less of a risk .,Argument_for,train,NoArgument
abortion,http://www.balancedpolitics.org/abortion.htm,http://web.archive.org/web/20161018165433/http://balancedpolitics.org/abortion.htm,9c250be2d5c7819e2693f70c951fefa5,Abortion is not murder because it is performed before a fetus has developed into a human person .,Argument_for,train,Argument_for
abortion,http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,http://web.archive.org/web/20160916225634/http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,c462ef59fc3b7eaf52dc0c73f8393091,Just because pregnancy is a perfectly natural and totally necessary condition for the continuation of the human race does not mean that all pregnancies can be considered equal and good .,Argument_for,train,Argument_for
abortion,http://www.balancedpolitics.org/abortion.htm,http://web.archive.org/web/20161018165433/http://balancedpolitics.org/abortion.htm,9200254e55bb69ff49dce21cb7635cd0,Raising a child properly is a full-time labor intensive process .,Argument_for,train,NoArgument
abortion,http://www.newyorker.com/news/daily-comment/arguing-abortion,http://web.archive.org/web/20160423035951/http://www.newyorker.com:80/news/daily-comment/arguing-abortion,153fbe7dd15d698d341efe0f574e2ab7,Abortion need not promise to be rare to be secured as safe and legal .,Argument_for,train,NoArgument
abortion,http://www.listland.com/top-10-arguments-in-support-of-abortion/,http://web.archive.org/web/20160829133344/http://www.listland.com/top-10-arguments-in-support-of-abortion/,47d0a95f491cb9906975eb5dd98a6624,"There are some cases where the odds for both mother and child are bleak , and this is when choice becomes a critical factor .",Argument_for,train,Argument_for
abortion,http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/,http://web.archive.org/web/20160502081158/http://www.choicematters.org:80/2007/12/legal-abortion-arguments-pro-con/,d1799c4eba5934f542bf52914a6725fe,"We support reproductive freedom , which means that an individual woman should be able to make her own choice .",Argument_for,train,NoArgument
abortion,http://www.debate.org/abortion-debate/,http://web.archive.org/web/20160425164133/http://www.debate.org:80/abortion-debate/,74944d4d2af78c5b2b04f5af0b1db85b,"An exploding population , legalize abortion .",Argument_for,train,Argument_for
abortion,http://www.balancedpolitics.org/abortion.htm,http://web.archive.org/web/20161018165433/http://balancedpolitics.org/abortion.htm,f99ae1a7452b28dcd171c37ded0961b2,"Carrying and delivering a baby can be painful & dangerous to the mother , and a number of complications can develop .",Argument_for,train,Argument_for
